0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,Unnamed: 0
ハーツクライ,ディープインパクト,デルタブルース,タップダンスシチー,ビッグゴールド,オペラシチー,オースミハルカ,マイソールサウンド,リンカーン,コスモバルク,コイントス,ヘヴンリーロマンス,サンライズペガサス,ゼンノロブロイ,グラスボンバー,スズカマンボ,馬名
ルメール,武豊,ペリエ,佐藤哲三,柴田善臣,中舘英二,川島信二,本田優,横山典弘,五十嵐冬,北村宏司,松永幹夫,田中勝春,デザーモ,勝浦正樹,安藤勝己,騎手名
10,6,15,9,12,11,16,1,14,4,13,7,2,3,8,5,枠順
2:31.9,2:32.0,2:33.0,2:33.3,2:33.6,2:33.7,2:33.8,2:34.3,2:32.2,2:32.4,2:32.5,2:32.5,2:32.7,2:32.8,2:32.9,2:32.9,走破タイム
17.1,1.3,11.5,19.7,188.9,156.4,121.5,194.4,34.0,85.3,207.3,56.5,81.2,6.8,96.1,52.6,オッズ
3-4-4-3,11-10-8-6,8-8-8-11,1-1-1-2,14-14-11-16,5-6-6-8,2-2-2-3,5-4-4-6,7-7-6-3,3-2-2-1,10-10-11-13,11-12-11-11,11-12-11-8,8-8-8-8,15-15-15-13,15-15-15-15,通過順位
498(+2),440(-4),530(+2),512(+2),474(+6),504(-4),474(-2),474(+4),474(+2),506(+6),550(+6),508(0),492(+8),520(+12),492(+6),498(+10),馬体重
牡4,牡3,牡4,牡8,牡7,牡4,牝5,牡6,牡5,牡4,牡7,牝5,牡7,牡5,牡5,牡4,性齢
57,55,57,57,57,57,55,57,57,57,57,55,57,57,57,57,斤量
35.0,34.6,35.6,36.9,35.9,36.6,37.1,37.4,35.0,35.8,34.9,34.9,35.1,35.4,35.0,34.9,上がり3ハロン
4,1,3,5,14,13,12,15,6,10,16,8,9,2,11,7,人気
4,9,6,8,16,9,5,,4,20,4,9,2,7,6,7,芝適性
76,83,112,80,91,101,57,,97,60,88,58,61,65,54,87,距離適性
73,110,25,3,8,73,2,,85,6,19,92,106,59,86,98,脚質
80,56,83,112,87,94,65,,73,46,75,88,78,67,88,75,成長
63,45,43,27,41,48,48,,67,46,45,50,77,47,36,44,馬場適性
4.35,4.64,3.9,4.29,3.25,,3.67,,3.57,3.59,3.25,3.88,3.5,4.32,3.25,3.64,総合評価
4.35,4.64,3.9,4.29,3.25,,3.67,,3.57,3.59,3.25,3.88,3.5,4.32,3.25,3.64,実績評価
4.27,4.73,4.0,4.23,3.25,,3.33,,3.29,3.45,3.25,3.88,3.5,4.32,3.25,3.71,ポテンシャル評価
"<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200508040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200506050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200508050711/"" title=""京阪杯(G3)"">京阪杯(G3)</a>","<a href=""/race/200508050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>",,"<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200509050411/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>","<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200503030811/"" title=""福島記念(G3)"">福島記念(G3)</a>","<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>",前走レース名
7.2,1.0,1.8,17.2,135.1,12.9,16.4,,20.5,50.1,3.9,19.5,71.9,2.1,5.7,26.3,前走オッズ
2,1,1,10,17,11,2,,4,14,6,7,6,3,1,9,前走成績
"<a href=""/race/200505040810/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200509040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200505050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200505040810/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200505050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200501010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200505040411/"" title=""府中牝馬S(G3)"">府中牝馬S(G3)</a>",,"<a href=""/race/200505040810/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200505050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200505040810/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200505040810/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200505040810/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200506040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200505040810/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>",2走前レース名
6.7,1.1,4.2,14.1,15.5,3.4,7.7,,7.2,6.5,7.1,75.8,13.7,2.2,4.9,29.7,2走前オッズ
6,1,5,9,5,7,3,,15,11,3,1,12,2,2,13,2走前成績
"<a href=""/race/200509030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200505030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200406050809/"" title=""有馬記念(G1)"">有馬記念(G1)</a>","<a href=""/race/200509030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200508040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200505030111/"" title=""目黒記念(G2)"">目黒記念(G2)</a>","<a href=""/race/200503010811/"" title=""福島牝馬S(G3)"">福島牝馬S(G3)</a>",,"<a href=""/race/200508040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200509030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200508040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200501010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/2005A6081604/"" title=""インターナショナルS(G1)"">インターナショナルS(G1)</a>","<a href=""/race/200504030611/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/200508030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>",3走前レース名
18.3,1.1,8.9,1.9,7.8,3.6,5.9,,1.7,21.5,42.5,17.7,17.9,,8.8,35.1,3走前オッズ
2,1,5,7,6,1,4,,1,12,2,1,1,2,2,1,3走前成績
