Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,リスグラシュー,サートゥルナーリア,ワールドプレミア,フィエールマン,キセキ,シュヴァルグラン,レイデオロ,ヴェロックス,アーモンドアイ,エタリオウ,アルアイン,スワーヴリチャード,スティッフェリオ,アエロリット,スカーレットカラー,クロコスミア
騎手名,レーン,スミヨン,武豊,池添謙一,ムーア,福永祐一,三浦皇成,川田将雅,ルメール,横山典弘,松山弘平,マーフィ,丸山元気,津村明秀,岩田康誠,藤岡佑介
枠順,6,10,7,5,11,16,8,14,9,3,13,2,4,15,1,12
走破タイム,2:30.5,2:31.3,2:31.4,2:31.6,2:31.6,2:31.9,2:32.1,2:32.3,2:32.3,2:32.4,2:32.8,2:33.6,2:34.0,2:35.0,2:35.3,2:35.3
オッズ,6.7,7.8,13.4,18.4,27.1,135.4,35.8,33.7,1.5,85.0,160.6,17.5,133.4,107.1,104.6,207.1
通過順位,10-10-11-9,13-13-11-7,15-16-16-16,10-10-9-4,12-12-11-9,14-14-14-13,15-14-14-13,8-8-9-9,8-8-7-4,5-5-5-4,4-4-3-3,6-6-6-7,2-2-2-2,1-1-1-1,7-6-7-13,2-3-3-12
馬体重,468(0),504(+2),492(+8),482(0),506(0),470(+6),494(+8),494(+4),486(+6),462(0),526(0),526(+10),456(+8),514(-2),474(-12),444(-4)
性齢,牝5,牡3,牡3,牡4,牡5,牡7,牡5,牡3,牝4,牡4,牡5,牡5,牡5,牝5,牝4,牝6
斤量,55,55,55,57,57,57,57,55,55,57,57,57,57,55,55,55
上がり3ハロン,34.7,35.4,35.0,36.0,35.8,35.8,36.0,36.7,36.9,37.2,38.0,38.3,39.9,42.1,39.8,40.6
人気,2,3,4,6,7,14,9,8,1,10,15,5,13,12,11,16
芝適性,6,3,1,3,5,3,2,1,4,5,6,9,1,8,8,1
距離適性,68,55,85,99,91,97,75,68,56,110,47,77,110,32,50,53
脚質,77,39,106,111,41,99,92,26,76,113,37,87,45,10,108,18
成長,104,37,86,74,82,101,68,64,62,100,58,74,99,58,75,71
馬場適性,28,49,53,75,11,57,41,33,43,21,49,50,1,73,67,22
総合評価,4.22,4.23,4.22,4.36,4.4,3.72,4.29,4.04,4.88,4.24,4.29,3.96,3.5,4.13,3.4,3.86
実績評価,4.22,4.23,4.22,4.36,4.4,3.72,4.29,4.04,4.88,4.24,4.29,3.96,3.5,4.13,3.4,3.86
ポテンシャル評価,4.19,3.87,3.66,4.33,4.11,3.49,4.22,3.66,4.88,3.63,4.25,3.73,3.07,3.94,3.35,3.46
前走レース名,"<a href=""/race/2019G5102609/"" title=""コックスプレート(G1)"">コックスプレート(G1)</a>","<a href=""/race/201905040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201908040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/2019C8100604/"" title=""凱旋門賞(G1)"">凱旋門賞(G1)</a>","<a href=""/race/2019C8100604/"" title=""凱旋門賞(G1)"">凱旋門賞(G1)</a>","<a href=""/race/201905050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201905050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201908040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/201905040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201905050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201908050611/"" title=""マイルチャンピオンS(G1)"">マイルチャンピオンS(G1)</a>","<a href=""/race/201905050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201905040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201905040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201908050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201908050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>"
前走オッズ,1.7,3.4,6.5,11.1,19.4,20.0,4.2,2.2,1.6,23.8,15.5,5.1,145.1,20.0,7.7,23.1
前走成績,1,6,1,12,7,9,11,3,1,7,16,1,12,3,7,2
