,0,1,2,3,4,5,6,7,8,9,10,11,12
芝適性,6,6,26,9,7,6,5,12,6,7,2,6,51
距離適性,73,72,63,66,74,73,64,63,53,62,99,61,79
脚質,107,92,54,81,35,97,108,44,27,23,105,81,42
成長,74,57,75,81,73,61,48,53,53,82,94,48,86
馬場適性,15,37,49,40,54,49,54,31,58,59,48,65,46
総合評価,4.36,4.23,3.78,4.3,4.16,3.82,4.31,4.3,3.67,4.12,3.77,3.73,3.0
実績評価,4.36,4.23,3.78,4.3,4.16,3.82,4.31,4.3,3.67,4.12,3.77,3.73,3.0
ポテンシャル評価,4.37,4.18,3.53,3.94,4.15,3.82,4.38,4.6,3.45,3.95,3.82,3.88,3.11
前走レース名,"<a href=""/race/201108050611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/201105050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201105050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201109040411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201105050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/2011A8a00706/"" title=""凱旋門賞(G1)"">凱旋門賞(G1)</a>","<a href=""/race/201105050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201105050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201109060111/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>","<a href=""/race/201105040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201105050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201105050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201105050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>"
前走オッズ,1.4,11.3,16.3,3.7,14.1,,3.4,10.9,6.1,7.3,106.5,22.0,240.0
前走成績,1,8,11,5,2,10,1,13,1,14,3,9,15
2走前レース名,"<a href=""/race/201109050611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201105040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201105040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201108031111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201105040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/2011A8a00202/"" title=""フォワ賞(G2)"">フォワ賞(G2)</a>","<a href=""/race/201105040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/2011C7a00203/"" title=""ドバイワールドC(G1)"">ドバイワールドC(G1)</a>","<a href=""/race/201108030511/"" title=""京都新聞杯(G2)"">京都新聞杯(G2)</a>","<a href=""/race/201106040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201105040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201105040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201105050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>"
2走前オッズ,1.7,5.9,58.9,2.8,33.3,,2.8,,1.7,1.4,53.2,6.6,19.2
2走前成績,1,6,5,1,1,2,4,1,10,1,9,10,6
3走前レース名,"<a href=""/race/201105030411/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201109040411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201109040411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/2011C7a00202/"" title=""ドバイシーマクラシッ(G1)"">ドバイシーマクラシッ(G1)</a>","<a href=""/race/201101010411/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201108030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201109040411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201106020211/"" title=""中山記念(G2)"">中山記念(G2)</a>","<a href=""/race/201109020212/"" title=""被災地支援毎日杯(G3)"">被災地支援毎日杯(G3)</a>","<a href=""/race/201109040411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201108050211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201108050211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201101010411/"" title=""札幌記念(G2)"">札幌記念(G2)</a>"
3走前オッズ,3.0,5.6,10.1,,3.0,16.9,2.8,1.4,3.8,13.6,4.1,1.8,6.3
3走前成績,1,3,13,6,1,1,2,1,1,1,4,1,12
