,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
芝適性,2,2,3,4,2,10,21,5,1,12,15,12,11,1,9
距離適性,99,81,106,81,58,63,72,100,72,60,116,76,65,63,66
脚質,21,105,3,97,29,88,94,108,105,102,109,47,96,102,95
成長,99,86,97,93,89,61,61,74,53,53,107,74,83,68,76
馬場適性,35,60,20,26,67,59,46,14,47,59,44,51,61,58,49
総合評価,4.22,3.7,4.58,4.29,4.14,2.98,3.15,4.16,3.84,4.07,3.58,3.96,3.34,3.65,3.87
実績評価,4.22,3.7,4.58,4.29,4.14,2.98,3.15,4.16,3.84,4.07,3.58,3.96,3.34,3.65,3.87
ポテンシャル評価,4.09,3.32,4.67,4.08,4.21,2.6,3.06,4.15,3.94,3.76,3.58,3.63,2.98,2.81,3.47
前走レース名,"<a href=""/race/201505050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/201505050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201508040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/201508050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201505050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201506050611/"" title=""ディセンバーS(OP)"">ディセンバーS(OP)</a>","<a href=""/race/201505050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201505050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201505050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201508050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201506050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/201505050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201505050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201505050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201507040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>"
前走オッズ,2.1,11.3,13.4,15.2,2.7,5.2,42.8,4.7,67.7,6.1,3.2,23.9,69.8,200.1,86.2
前走成績,1,5,1,1,3,1,16,10,7,4,1,2,13,9,11
2走前レース名,"<a href=""/race/201505040310/"" title=""オクトーバーS(1600万下)"">オクトーバーS(1600万下)</a>","<a href=""/race/201508040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201506040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201506040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201505040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201508050511/"" title=""アンドロメダS(OP)"">アンドロメダS(OP)</a>","<a href=""/race/201505040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201509030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201505040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201505021011/"" title=""優駿牝馬(G1)"">優駿牝馬(G1)</a>","<a href=""/race/201508050310/"" title=""比叡S(1600万下)"">比叡S(1600万下)</a>","<a href=""/race/201505040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201501020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201505040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201506040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>"
2走前オッズ,2.0,3.9,12.5,11.1,3.4,10.7,106.3,1.9,35.6,2.7,4.8,31.7,29.8,48.6,78.2
2走前成績,1,2,1,5,1,1,11,15,16,2,1,12,2,15,8
3走前レース名,"<a href=""/race/201502010512/"" title=""洞爺湖特別(1000万下)"">洞爺湖特別(1000万下)</a>","<a href=""/race/201508030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201505021210/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201509030411/"" title=""マーメイドS(G3)"">マーメイドS(G3)</a>","<a href=""/race/201508040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201507030811/"" title=""トヨタ賞中京記念(G3)"">トヨタ賞中京記念(G3)</a>","<a href=""/race/201508030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201508030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201508040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201509020611/"" title=""桜花賞(G1)"">桜花賞(G1)</a>","<a href=""/race/201505040110/"" title=""本栖湖特別(1000万下)"">本栖湖特別(1000万下)</a>","<a href=""/race/201501020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201505021212/"" title=""目黒記念(G2)"">目黒記念(G2)</a>","<a href=""/race/201501020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201510020411/"" title=""小倉記念(G3)"">小倉記念(G3)</a>"
3走前オッズ,1.9,6.2,20.7,3.5,3.1,12.0,5.4,4.6,6.1,1.6,3.8,4.6,25.3,9.6,38.2
3走前成績,1,9,14,2,1,12,15,1,6,9,1,6,1,3,8
