,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
芝適性,1,8,3,2,1,1,11,6,1,3,8,5,1,1,1,2
距離適性,63,58,99,68,85,83,48,93,116,70,99,91,58,101,97,82
脚質,77,104,111,45,106,25,75,79,1,98,116,41,1,60,74,71
成長,91,87,74,70,86,37,40,116,97,95,108,82,116,105,111,78
馬場適性,8,53,75,37,53,18,82,19,58,88,70,11,1,21,20,25
総合評価,4.35,4.08,4.36,4.3,4.22,4.23,4.04,4.03,4.13,4.39,3.67,4.4,3.5,4.21,3.69,4.17
実績評価,4.35,4.08,4.36,4.3,4.22,4.23,4.04,4.03,4.13,4.39,3.67,4.4,3.5,4.21,3.69,4.17
ポテンシャル評価,4.32,3.68,4.33,4.21,3.66,3.68,3.95,3.37,4.0,4.01,3.43,4.11,3.17,3.73,3.85,4.04
前走レース名,"<a href=""/race/202005040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/202009050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/202005040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/202009050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/202005050912/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/202005050912/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/202009050611/"" title=""マイルチャンピオンS(G1)"">マイルチャンピオンS(G1)</a>","<a href=""/race/202005050912/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/202006050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/202009050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/202005050912/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/202005050912/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/202008040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/202005050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/202009030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/202005040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>"
前走オッズ,4.4,12.3,17.4,3.3,45.4,24.9,165.8,432.9,13.8,5.5,101.1,44.6,12.5,5.3,106.1,32.3
