,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
馬名,ゼンノロブロイ,タップダンスシチー,シルクフェイマス,ダイタクバートラム,デルタブルース,ハイアーゲーム,アドマイヤドン,ツルマルボーイ,ハーツクライ,ユキノサンロイヤル,コスモバルク,ピサノクウカイ,グレイトジャーニー,ヒシミラクル,コイントス
騎手名,ペリエ,佐藤哲三,四位洋文,武豊,ボニヤ,吉田豊,安藤勝己,蛯名正義,横山典弘,柴田善臣,五十嵐冬,藤田伸二,小牧太,角田晃一,岡部幸雄
枠順,1,9,6,8,10,3,15,13,5,7,4,2,12,11,14
走破タイム,2:29.5,2:29.6,2:29.8,2:30.0,2:30.0,2:30.4,2:30.4,2:30.5,2:30.5,2:30.5,2:30.5,2:31.0,2:31.0,2:31.3,2:31.5
オッズ,2.0,8.8,27.3,11.2,8.9,109.8,21.3,15.5,43.5,125.2,7.0,94.6,85.8,13.1,91.1
通過順位,2-2-2-2,1-1-1-1,7-6-6-5,10-10-9-10,4-4-4-3,13-14-14-14,8-8-9-8,11-11-11-12,15-15-15-15,13-13-13-12,9-8-8-8,11-11-11-10,6-6-6-7,2-2-2-3,4-5-4-5
馬体重,508(+6),504(0),480(+14),498(0),530(+18),518(+12),452(-2),462(-2),472(-8),472(+2),498(+6),514(+2),458(-2),456(+2),534(+6)
性齢,牡4,牡7,牡5,牡6,牡3,牡3,牡5,牡6,牡3,牡7,牡3,牡3,牡3,牡5,牡6
斤量,57,57,57,57,55,55,57,57,55,57,55,55,55,57,57
上がり3ハロン,35.3,35.7,35.1,34.9,35.6,34.5,35.3,35.1,34.2,34.9,35.6,35.7,36.4,37.1,37.1
人気,1,3,9,5,4,14,8,7,10,15,2,13,11,6,12
