,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,ドリームジャーニー,ブエナビスタ,エアシェイディ,フォゲッタブル,マイネルキッツ,セイウンワンダー,マツリダゴッホ,イコピコ,シャドウゲイト,コスモバルク,ミヤビランベリ,ネヴァブション,リーチザクラウン,テイエムプリキュア,アンライバルド,スリーロールス
騎手名,池添謙一,横山典弘,後藤浩輝,ルメール,三浦皇成,藤田伸二,蛯名正義,内田博幸,田中勝春,五十嵐冬,吉田隼人,北村宏司,武豊,熊沢重文,Ｍデムー,浜中俊
枠順,9,2,6,16,4,14,7,11,13,5,3,15,8,12,1,10
走破タイム,2:30.0,2:30.1,2:30.8,2:30.8,2:31.2,2:31.6,2:31.9,2:32.6,2:32.7,2:32.8,2:32.8,2:33.9,2:34.6,2:35.7,2:36.8,
オッズ,4.0,3.4,32.0,9.6,33.2,21.0,9.4,17.2,123.4,89.9,14.7,60.0,12.6,65.0,14.9,13.5
通過順位,15-15-14-8,6-6-4-3,16-16-15-12,13-13-10-5,10-10-6-5,13-13-10-5,10-10-4-1,6-8-6-8,4-4-2-2,10-10-10-12,2-2-2-3,6-8-9-14,1-1-1-8,3-2-10-15,5-5-6-11,6-6
馬体重,426(+4),446(-8),494(0),484(-2),504(+6),518(+4),502(+12),456(-10),504(+4),512(+2),492(-4),488(-2),508(+2),504(-2),474(+4),498(0)
性齢,牡5,牝3,牡8,牡3,牡6,牡3,牡6,牡3,牡7,牡8,牡6,牡6,牡3,牝6,牡3,牡3
斤量,57,53,57,55,57,55,57,55,57,57,57,57,55,55,55,55
上がり3ハロン,35.2,35.8,35.7,36.1,36.7,36.9,37.6,38.2,38.6,38.1,38.7,39.3,40.6,41.0,42.4,
人気,2,1,11,4,12,10,3,9,16,15,7,13,5,14,8,6
