,0,1,2,3,4,5,6,7,8,9,10,11,12,13
馬名,オルフェーヴル,エイシンフラッシュ,トゥザグローリー,ルーラーシップ,トーセンジョーダン,ヒルノダムール,ブエナビスタ,ヴィクトワールピサ,レッドデイヴィス,アーネストリー,ジャガーメイル,ローズキングダム,キングトップガン,ペルーサ
騎手名,池添謙一,ルメール,福永祐一,メンディ,ウィリア,藤田伸二,岩田康誠,Ｍデムー,武豊,佐藤哲三,四位洋文,後藤浩輝,柴田善臣,安藤勝己
枠順,9,5,7,14,10,3,1,2,13,12,11,8,6,4
走破タイム,2:36.0,2:36.1,2:36.1,2:36.2,2:36.3,2:36.4,2:36.5,2:36.5,2:36.5,2:36.6,2:36.8,2:37.1,2:37.4,
オッズ,2.2,26.8,47.1,52.9,9.2,30.4,3.2,10.2,18.2,13.6,77.1,51.1,132.9,---
通過順位,11-10-8-5,5-5-6-5,8-7-10-8,11-10-11-11,3-3-3-3,6-7-8-8,4-3-3-3,2-2-2-2,6-5-3-5,1-1-1-1,9-7-6-8,11-13-13-13,9-10-11-12,
馬体重,462(-4),488(-4),536(+12),504(+6),482(+4),466(0),470(+6),520(+12),484(+2),534(+4),484(0),454(-8),506(-2),計不
性齢,牡3,牡4,牡4,牡4,牡5,牡4,牝5,牡4,セ3,牡6,牡7,牡4,牡8,牡4
斤量,55,57,57,57,57,57,55,57,55,57,57,57,57,57
上がり3ハロン,33.3,33.6,33.3,33.2,33.9,33.7,34.1,34.3,34.1,34.6,34.2,34.0,34.5,
人気,1,7,9,11,3,8,2,4,6,5,12,10,13,
