Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,アスクビクターモア,ボルドグフーシュ,ジャスティンパレス,ドゥラドーレス,シホノスペランツァ,ヤマニンゼスト,プラダリア,ガイアフォース,アスクワイルドモア,シェルビーズアイ,セレシオン,ヴェローナシチー,ビーアストニッシド,ディナースタ,フェーングロッテン,ポッドボレット,セイウンハーデス,マイネルトルファン
騎手名,田辺裕信,吉田隼人,鮫島克駿,横山武史,浜中俊,武豊,池添謙一,松山弘平,岩田望来,松田大作,福永祐一,川田将雅,岩田康誠,横山和生,松若風馬,坂井瑠星,幸英明,丹内祐次
枠順,14,4,17,11,9,5,3,1,7,2,18,12,6,13,16,15,10,8
走破タイム,3:02.4,3:02.4,3:02.5,3:03.4,3:03.4,3:03.6,3:03.6,3:04.0,3:04.2,3:04.4,3:04.8,3:05.2,3:05.6,3:06.1,3:06.2,3:06.8,3:07.6,3:08.9
オッズ,4.1,11.5,9.7,7.0,149.4,33.8,10.2,3.5,98.3,164.4,24.6,11.1,123.7,18.8,40.1,144.9,61.1,72.7
通過順位,2-2-2-1,12-13-10-4,8-6-6-4,12-12-10-9,16-16-16-13,14-15-14-13,9-9-10-12,6-6-7-4,14-14-14-15,9-11-10-9,6-6-3-4,17-17-16-15,4-3-3-2,3-3-3-4,9-9-7-9,4-5-7-17,1-1-1-2,18-18-18-18
馬体重,476(0),496(0),452(0),490(-4),478(0),500(+6),458(+2),494(-4),472(+8),470(+2),464(-10),498(0),466(+10),462(+4),472(0),504(-6),466(-8),492(0)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,36.9,36.3,36.5,37.2,36.8,37.1,37.2,38.0,37.6,38.1,38.8,38.5,39.8,40.2,40.1,40.2,42.2,41.2
人気,2,7,4,3,17,10,5,1,14,18,9,6,15,8,11,16,12,13
芝適性,1,1,58,58,58,1,1,1,1,29,1,1,1,1,58,58,58,1
距離適性,111,116,58,58,58,87,58,87,73,116,87,107,87,116,58,58,58,116
脚質,1,116,58,58,58,116,1,1,116,58,116,116,1,29,58,58,58,116
成長,102,97,58,58,58,116,58,78,78,58,116,78,58,116,58,58,58,116
馬場適性,1,58,58,58,58,58,58,58,58,1,1,39,116,58,58,58,58,1
総合評価,4.04,3.5,,,,,,4.17,3.67,3.5,3.7,3.58,3.13,3.25,,,,4.0
実績評価,4.04,3.5,,,,,,4.17,3.67,3.5,3.7,3.58,3.13,3.25,,,,4.0
ポテンシャル評価,3.67,2.33,,,,,,3.67,3.17,3.0,3.1,3.17,3.13,3.0,,,,4.0
前走レース名,"<a href=""/race/202206040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/202207050711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/202207050711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/202201020210/"" title=""藻岩山特別(2勝クラス)"">藻岩山特別(2勝クラス)</a>","<a href=""/race/202210040812/"" title=""3歳以上1勝クラス"">3歳以上1勝クラス</a>","<a href=""/race/202207050711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/202207050711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/202206040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/202207050711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/202201010310/"" title=""阿寒湖特別(2勝クラス)"">阿寒湖特別(2勝クラス)</a>","<a href=""/race/202204030410/"" title=""阿賀野川特別(2勝クラス)"">阿賀野川特別(2勝クラス)</a>","<a href=""/race/202207050711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/202207050711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/202201020311/"" title=""札幌日刊スポーツ杯(2勝クラス)"">札幌日刊スポーツ杯(2勝クラス)</a>","<a href=""/race/202204030811/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/202207050810/"" title=""関ケ原S(3勝クラス)"">関ケ原S(3勝クラス)</a>","<a href=""/race/202206040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/202201020310/"" title=""富良野特別(1勝クラス)"">富良野特別(1勝クラス)</a>"
前走オッズ,2.6,8.3,11.0,1.5,4.3,84.3,4.0,5.1,17.3,4.3,1.8,8.1,27.0,2.5,7.5,15.4,27.6,2.3
前走成績,2,3,1,1,1,2,8,1,10,4,1,5,9,1,3,6,4,1
