,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,6,6,6,8,7,5,6,10,9,4,3,9,9,18,13,3,10,43
距離適性,90,61,102,80,98,94,73,85,63,65,61,53,57,82,84,53,56,53
脚質,10,81,27,101,4,72,97,40,108,43,63,58,69,57,63,13,64,43
成長,63,48,75,66,58,79,61,80,60,55,58,44,51,66,69,70,69,64
馬場適性,46,65,53,53,46,58,49,55,57,41,29,58,53,29,46,55,40,65
総合評価,3.63,3.73,3.64,3.25,3.1,2.67,3.82,3.6,3.5,3.14,3.25,3.33,3.0,2.83,3.5,3.4,3.71,
実績評価,3.63,3.73,3.64,3.25,3.1,2.67,3.82,3.6,3.5,3.14,3.25,3.33,3.0,2.83,3.5,3.4,3.71,
ポテンシャル評価,3.38,3.88,3.55,2.5,2.9,2.5,3.82,3.4,3.43,3.0,3.25,3.08,3.0,2.83,3.25,3.5,3.4,
前走レース名,"<a href=""/race/201009040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201009040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201009040811/"" title=""兵庫特別(1000万下)"">兵庫特別(1000万下)</a>","<a href=""/race/201009040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201006040709/"" title=""習志野特別(1000万下)"">習志野特別(1000万下)</a>","<a href=""/race/201001010809/"" title=""札幌日経OP(OP)"">札幌日経OP(OP)</a>","<a href=""/race/201001010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201006040510/"" title=""九十九里特別(1000万下)"">九十九里特別(1000万下)</a>","<a href=""/race/201006040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/201006040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/201006040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/201009040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201009040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201001010711/"" title=""日高特別(1000万下)"">日高特別(1000万下)</a>","<a href=""/race/201009040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201006040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/201001010309/"" title=""マレーシアC(1600万下)"">マレーシアC(1600万下)</a>","<a href=""/race/201008050209/"" title=""清滝特別(1000万下)"">清滝特別(1000万下)</a>"
前走オッズ,12.7,3.0,6.9,8.7,5.1,2.4,5.5,4.0,6.4,4.0,4.4,27.9,31.0,3.3,12.3,14.7,3.5,18.7
前走成績,3,1,1,5,1,1,4,1,1,14,3,9,8,1,10,9,5,1
2走前レース名,"<a href=""/race/201010020709/"" title=""玄海特別(1000万下)"">玄海特別(1000万下)</a>","<a href=""/race/201005030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201004030710/"" title=""弥彦特別(1000万下)"">弥彦特別(1000万下)</a>","<a href=""/race/201005030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201006040308/"" title=""3歳以上500万下"">3歳以上500万下</a>","<a href=""/race/201002020709/"" title=""みなみ北海道S(OP)"">みなみ北海道S(OP)</a>","<a href=""/race/201005030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201010020709/"" title=""玄海特別(1000万下)"">玄海特別(1000万下)</a>","<a href=""/race/201003020611/"" title=""ラジオNIKKEI賞(G3)"">ラジオNIKKEI賞(G3)</a>","<a href=""/race/201005030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201003020611/"" title=""ラジオNIKKEI賞(G3)"">ラジオNIKKEI賞(G3)</a>","<a href=""/race/201005030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201006030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/201003020611/"" title=""ラジオNIKKEI賞(G3)"">ラジオNIKKEI賞(G3)</a>","<a href=""/race/201001010511/"" title=""阿寒湖特別(1000万下)"">阿寒湖特別(1000万下)</a>","<a href=""/race/201010020110/"" title=""西部スポニチ賞(1000万下)"">西部スポニチ賞(1000万下)</a>","<a href=""/race/201002020109/"" title=""STV杯(1000万下)"">STV杯(1000万下)</a>","<a href=""/race/201008040711/"" title=""あずさ賞(500万下)"">あずさ賞(500万下)</a>"
2走前オッズ,2.1,19.5,12.2,62.9,2.0,3.6,8.8,6.6,6.1,96.4,7.3,300.0,29.3,12.1,3.8,2.5,2.0,38.8
2走前成績,1,2,7,11,1,1,9,3,2,4,1,8,17,6,1,1,1,1
3走前レース名,"<a href=""/race/201010010711/"" title=""都井岬特別(500万下)"">都井岬特別(500万下)</a>","<a href=""/race/201006030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/201008040309/"" title=""白百合S(OP)"">白百合S(OP)</a>","<a href=""/race/201008030510/"" title=""京都新聞杯(G2)"">京都新聞杯(G2)</a>","<a href=""/race/201005030709/"" title=""くちなし賞(500万下)"">くちなし賞(500万下)</a>","<a href=""/race/201002010209/"" title=""HTB杯(1000万下)"">HTB杯(1000万下)</a>","<a href=""/race/201006030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/201008030807/"" title=""3歳500万下"">3歳500万下</a>","<a href=""/race/201005020511/"" title=""プリンシパルS(OP)"">プリンシパルS(OP)</a>","<a href=""/race/201008030510/"" title=""京都新聞杯(G2)"">京都新聞杯(G2)</a>","<a href=""/race/201005020311/"" title=""テレビ東京杯青葉賞(G2)"">テレビ東京杯青葉賞(G2)</a>","<a href=""/race/201006030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/201008020611/"" title=""きさらぎ賞(G3)"">きさらぎ賞(G3)</a>","<a href=""/race/201005020311/"" title=""テレビ東京杯青葉賞(G2)"">テレビ東京杯青葉賞(G2)</a>","<a href=""/race/201002020807/"" title=""3歳以上500万下"">3歳以上500万下</a>","<a href=""/race/201010010511/"" title=""青島特別(500万下)"">青島特別(500万下)</a>","<a href=""/race/201002010711/"" title=""恵山特別(500万下)"">恵山特別(500万下)</a>","<a href=""/race/201005030406/"" title=""3歳500万下"">3歳500万下</a>"
3走前オッズ,2.5,6.4,7.4,3.1,15.2,4.5,10.7,11.1,19.9,5.5,100.5,117.2,13.8,52.6,2.1,2.3,3.0,20.1
3走前成績,1,4,5,3,2,1,2,1,2,1,4,15,1,5,1,1,1,7
