,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,アスクビクターモア,ボルドグフーシュ,ジャスティンパレス,ドゥラドーレス,シホノスペランツァ,ヤマニンゼスト,プラダリア,ガイアフォース,アスクワイルドモア,シェルビーズアイ,セレシオン,ヴェローナシチー,ビーアストニッシド,ディナースタ,フェーングロッテン,ポッドボレット,セイウンハーデス,マイネルトルファン
騎手名,田辺裕信,吉田隼人,鮫島克駿,横山武史,浜中俊,武豊,池添謙一,松山弘平,岩田望来,松田大作,福永祐一,川田将雅,岩田康誠,横山和生,松若風馬,坂井瑠星,幸英明,丹内祐次
枠順,14,4,17,11,9,5,3,1,7,2,18,12,6,13,16,15,10,8
走破タイム,3:02.4,3:02.4,3:02.5,3:03.4,3:03.4,3:03.6,3:03.6,3:04.0,3:04.2,3:04.4,3:04.8,3:05.2,3:05.6,3:06.1,3:06.2,3:06.8,3:07.6,3:08.9
オッズ,4.1,11.5,9.7,7.0,149.4,33.8,10.2,3.5,98.3,164.4,24.6,11.1,123.7,18.8,40.1,144.9,61.1,72.7
通過順位,2-2-2-1,12-13-10-4,8-6-6-4,12-12-10-9,16-16-16-13,14-15-14-13,9-9-10-12,6-6-7-4,14-14-14-15,9-11-10-9,6-6-3-4,17-17-16-15,4-3-3-2,3-3-3-4,9-9-7-9,4-5-7-17,1-1-1-2,18-18-18-18
馬体重,476(0),496(0),452(0),490(-4),478(0),500(+6),458(+2),494(-4),472(+8),470(+2),464(-10),498(0),466(+10),462(+4),472(0),504(-6),466(-8),492(0)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,36.9,36.3,36.5,37.2,36.8,37.1,37.2,38.0,37.6,38.1,38.8,38.5,39.8,40.2,40.1,40.2,42.2,41.2
人気,2,7,4,3,17,10,5,1,14,18,9,6,15,8,11,16,12,13
