Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,シンボリクリスエス,ナリタトップロード,サンライズペガサス,エアシャカール,トーホウシデン,イブキガバメント,テンザンセイザ,エイシンプレストン,ブレイクタイム,アグネススペシャル,ツルマルボーイ,ロサード,テイエムオーシャン,ダンツフレーム,アグネスフライト,トラストファイヤー,アラタマインディ,ゴーステディ
騎手名,岡部幸雄,四位洋文,柴田善臣,武豊,ペリエ,横山典弘,田中勝春,福永祐一,松永幹夫,蛯名正義,河内洋,後藤浩輝,本田優,藤田伸二,勝浦正樹,江田照男,飯田祐史,吉田豊
枠順,8,1,17,14,13,11,5,6,9,15,7,18,10,16,2,3,4,12
走破タイム,1:58.5,1:58.6,1:58.6,1:58.8,1:58.9,1:59.1,1:59.1,1:59.2,1:59.2,1:59.3,1:59.3,1:59.3,1:59.5,1:59.6,1:59.8,1:59.9,2:00.0,2:00.3
オッズ,6.5,5.1,6.9,8.6,42.8,41.8,109.6,7.6,22.1,57.7,13.5,75.9,4.9,15.4,88.4,65.6,142.4,73.5
通過順位,6-6-7-5,11-11-10-10,8-9-8-5,14-14-13-13,3-3-3-5,6-6-5-2,8-9-10-10,8-6-8-9,5-5-5-2,16-16-13-13,17-17-17-17,14-14-16-15,4-4-3-2,13-12-10-10,11-12-13-15,18-17-17-17,2-2-2-5,1-1-1-1
馬体重,530(+8),496(-2),482(0),504(-10),434(+8),496(+2),480(+4),476(+2),552(0),442(+2),460(-6),432(0),458(-20),488(+14),460(+2),530(-2),522(0),508(+4)
性齢,牡3,牡6,牡4,牡5,牡5,牡6,牡4,牡5,牡5,牡5,牡4,牡6,牝4,牡4,牡5,牡4,牡5,牡5
斤量,56,58,58,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58
上がり3ハロン,34.4,34.1,34.3,34.2,35.0,35.1,34.7,35.0,35.2,34.6,34.2,34.5,35.6,35.1,35.2,34.9,36.3,37.1
人気,3,2,4,6,11,10,17,5,9,12,7,15,1,8,16,13,18,14
芝適性,9,3,2,4,5,18,2,6,13,3,4,6,3,13,5,5,12,4
距離適性,71,106,61,74,78,58,57,44,12,51,59,56,41,60,65,45,64,55
脚質,87,33,106,105,69,68,105,99,11,85,113,111,5,83,105,103,13,6
成長,72,67,78,32,67,80,59,64,70,57,92,65,35,55,25,28,68,73
馬場適性,56,95,77,68,47,33,63,57,36,78,82,71,41,37,75,78,63,66
総合評価,4.38,4.08,3.5,3.63,3.33,,3.5,4.17,,,3.75,3.88,4.09,4.0,3.5,,,
実績評価,4.38,4.08,3.5,3.63,3.33,,3.5,4.17,,,3.75,3.88,4.09,4.0,3.5,,,
ポテンシャル評価,4.38,3.77,3.5,3.88,3.0,,3.0,4.25,,,3.75,2.75,4.14,3.64,3.25,,,
前走レース名,"<a href=""/race/200209040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200208040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200206030211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200209030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200207020311/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/200209040111/"" title=""朝日チャレンジC(G3)"">朝日チャレンジC(G3)</a>","<a href=""/race/200208040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200206030211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200204040211/"" title=""京成杯オータムH(G3)"">京成杯オータムH(G3)</a>","<a href=""/race/200204040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200208040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200204040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200201010411/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200206030211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200109020411/"" title=""産経大阪杯(G2)"">産経大阪杯(G2)</a>","<a href=""/race/200206030211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200208040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200204040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>"
前走オッズ,2.1,1.7,2.7,2.9,9.8,3.0,22.9,4.2,2.2,5.6,2.7,5.4,5.1,5.4,8.0,35.4,57.6,2.9
前走成績,1,1,4,4,13,2,4,2,1,2,2,1,1,5,10,6,8,6
2走前レース名,"<a href=""/race/200205040410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200208030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/200208030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/200207020311/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/200206020111/"" title=""日経賞(G2)"">日経賞(G2)</a>","<a href=""/race/200210030211/"" title=""小倉記念(G3)"">小倉記念(G3)</a>","<a href=""/race/200209030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200205040611/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/200204030411/"" title=""アイビスサマーD(G3)"">アイビスサマーD(G3)</a>","<a href=""/race/200204030611/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/200209030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200210030211/"" title=""小倉記念(G3)"">小倉記念(G3)</a>","<a href=""/race/200106050809/"" title=""有馬記念(G1)"">有馬記念(G1)</a>","<a href=""/race/200209030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200108020711/"" title=""京都記念(G2)"">京都記念(G2)</a>","<a href=""/race/200206020411/"" title=""ダービー卿チャレンジ(G3)"">ダービー卿チャレンジ(G3)</a>","<a href=""/race/200210030211/"" title=""小倉記念(G3)"">小倉記念(G3)</a>","<a href=""/race/200204040209/"" title=""日本海S(1600万下)"">日本海S(1600万下)</a>"
2走前オッズ,6.2,2.7,9.7,1.8,40.4,8.3,24.9,2.9,2.1,3.8,9.3,4.1,26.8,2.4,3.4,3.3,8.3,2.4
2走前成績,2,3,5,2,4,2,7,5,2,2,2,5,6,1,2,10,1,1
3走前レース名,"<a href=""/race/200205030311/"" title=""テレビ東京杯青葉賞(G2)"">テレビ東京杯青葉賞(G2)</a>","<a href=""/race/200209010811/"" title=""阪神大賞典(G2)"">阪神大賞典(G2)</a>","<a href=""/race/200209020411/"" title=""産経大阪杯(G2)"">産経大阪杯(G2)</a>","<a href=""/race/200209020411/"" title=""産経大阪杯(G2)"">産経大阪杯(G2)</a>","<a href=""/race/200006060809/"" title=""有馬記念(G1)"">有馬記念(G1)</a>","<a href=""/race/200208030111/"" title=""オーストラリアT(OP)"">オーストラリアT(OP)</a>","<a href=""/race/200204010811/"" title=""新潟大賞典(G3)"">新潟大賞典(G3)</a>","<a href=""/race/2002G0042108/"" title=""クイーンエリザベスC(G1)"">クイーンエリザベスC(G1)</a>","<a href=""/race/200204020211/"" title=""NSTOP(OP)"">NSTOP(OP)</a>","<a href=""/race/200204020611/"" title=""関屋記念(G3)"">関屋記念(G3)</a>","<a href=""/race/200207020311/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/200210020211/"" title=""TV西日本北九州記念(G3)"">TV西日本北九州記念(G3)</a>","<a href=""/race/200108050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/200205040611/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/200005060810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200206010211/"" title=""中山記念(G2)"">中山記念(G2)</a>","<a href=""/race/200210020511/"" title=""九州スポーツ杯(1000万下)"">九州スポーツ杯(1000万下)</a>","<a href=""/race/200201010411/"" title=""札幌記念(G2)"">札幌記念(G2)</a>"
3走前オッズ,2.2,1.9,2.9,4.4,15.2,10.1,4.5,,6.2,7.6,3.7,3.0,3.0,6.2,13.8,16.4,6.0,95.6
3走前成績,1,1,1,2,14,11,3,1,2,6,1,2,5,2,13,2,1,7
