0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9,Unnamed: 0
ウオッカ,ダイワスカーレット,アドマイヤフジ,アドマイヤモナーク,エリモハリアー,ポップロック,ハイアーゲーム,トーセンキャプテン,タスカータソルテ,,ディープスカイ,カンパニー,エアシェイディ,サクラメガワンダー,オースミグラスワン,アサクサキングス,キングストレイル,ドリームジャーニー,馬名
武豊,安藤勝己,川田将雅,岩田康誠,吉田豊,内田博幸,柴田善臣,ペリエ,ルメール,,四位洋文,横山典弘,後藤浩輝,福永祐一,蛯名正義,藤岡佑介,北村宏司,池添謙一,騎手名
14,7,9,4,6,8,11,15,12,,2,16,3,5,13,1,10,17,枠順
1:57.2,1:57.2,1:58.0,1:58.2,1:58.3,1:58.3,1:58.4,1:58.6,1:58.8,,1:57.2,1:57.2,1:57.3,1:57.5,1:57.5,1:57.7,1:57.7,1:58.0,走破タイム
2.7,3.6,57.9,69.4,201.8,40.1,84.4,71.5,20.6,,4.1,52.8,33.6,32.1,43.1,21.2,109.2,14.6,オッズ
7-7-7,1-1-1,2-4-3,12-12-12,14-14-13,12-12-13,9-10-9,2-2-2,9-10-9,,6-5-5,16-16-16,8-7-8,9-9-9,14-15-15,5-5-5,2-3-3,17-17-16,通過順位
490(0),498(0),528(-2),458(-8),452(+2),498(-2),514(-6),492(-2),456(+6),,510(+2),460(+10),490(-2),486(+2),532(+6),494(0),492(+8),420(+6),馬体重
牝4,牝4,牡6,牡7,セ8,牡7,牡7,牡4,牡4,,牡3,牡7,牡7,牡5,牡6,牡4,牡6,牡4,性齢
56,56,58,58,58,58,58,58,58,,56,58,58,58,58,58,58,58,斤量
34.4,35.2,35.6,35.0,34.9,35.0,35.3,36.4,35.7,,34.5,33.5,34.4,34.5,34.0,35.0,35.3,34.2,上がり3ハロン
1,2,12,13,17,9,15,14,5,,3,11,8,7,10,6,16,4,人気
7,13,8,8,9,7,4,8,6,,8,5,5,6,7,7,9,6,芝適性
55,57,77,107,62,104,80,58,71,,58,56,58,61,62,87,45,63,距離適性
84,5,100,97,93,76,105,69,94,,105,100,84,97,94,13,36,110,脚質
