,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
芝適性,14,6,11,20,7,7,8,5,6,15,5,10,6,7,6,5,9
距離適性,48,67,55,60,56,46,27,29,61,48,105,37,67,62,80,56,91
脚質,10,100,100,6,113,24,79,110,97,10,112,49,101,94,48,100,17
成長,65,82,51,46,58,48,94,73,60,63,67,46,64,80,67,87,85
馬場適性,44,69,48,46,66,49,36,75,50,45,58,67,68,60,38,55,65
総合評価,4.27,3.5,4.19,3.59,4.03,3.78,3.75,4.06,3.78,3.67,3.25,3.0,3.25,3.25,3.5,4.18,3.5
実績評価,4.27,3.5,4.19,3.59,4.03,3.78,3.75,4.06,3.78,3.67,3.25,3.0,3.25,3.25,3.5,4.18,3.5
ポテンシャル評価,4.35,3.33,4.26,3.45,4.11,3.69,3.75,4.06,3.5,3.42,2.83,3.0,3.25,3.25,3.3,4.15,3.5
前走レース名,"<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200606040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200601010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200606040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200608050211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200608050211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200608050211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200608050211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200607030111/"" title=""朝日チャレンジC(G3)"">朝日チャレンジC(G3)</a>"
前走オッズ,6.4,4.9,3.2,4.2,5.1,5.5,4.1,15.4,36.8,16.7,19.2,27.1,6.7,18.5,2.4,7.8,30.9
前走成績,1,4,1,2,1,2,13,12,9,3,2,7,4,8,7,5,1
2走前レース名,"<a href=""/race/200608040411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200604030611/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/200605030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200601010809/"" title=""札幌日経OP(OP)"">札幌日経OP(OP)</a>","<a href=""/race/200508050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/2006A4070106/"" title=""キャッシュコール(G3)"">キャッシュコール(G3)</a>","<a href=""/race/200605030611/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/200608040411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200605030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200606040211/"" title=""京成杯オータムH(G3)"">京成杯オータムH(G3)</a>","<a href=""/race/200601010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200601010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200607020311/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/200604030611/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/200609010811/"" title=""阪神大賞典(G2)"">阪神大賞典(G2)</a>","<a href=""/race/200608040411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200604030611/"" title=""新潟記念(G3)"">新潟記念(G3)</a>"
2走前オッズ,25.6,3.4,5.9,3.7,2.8,,24.5,35.9,12.5,7.7,15.2,16.6,2.6,5.9,10.3,39.7,105.5
2走前成績,4,4,7,2,1,1,2,7,10,4,6,7,2,6,8,5,7
