,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
芝適性,10,13,5,7,20,11,10,8,14,11,6,6,9,25,8,109
距離適性,82,53,56,104,60,55,62,71,48,55,67,112,65,47,75,70
脚質,24,65,100,76,6,100,21,60,10,77,101,25,7,11,36,94
成長,67,70,87,100,46,51,59,89,65,66,64,83,77,85,78,77
馬場適性,27,53,55,31,46,48,64,74,44,52,68,43,28,24,45,40
総合評価,4.14,3.5,4.18,3.75,3.59,4.19,3.1,3.0,4.27,,3.25,3.9,3.36,3.71,3.92,3.75
実績評価,4.14,3.5,4.18,3.75,3.59,4.19,3.1,3.0,4.27,,3.25,3.9,3.36,3.71,3.92,3.75
ポテンシャル評価,4.24,3.5,4.15,3.25,3.45,4.26,2.9,3.0,4.35,,3.25,4.0,3.64,3.71,4.0,3.75
前走レース名,"<a href=""/race/200709030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200705040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200704020811/"" title=""関屋記念(G3)"">関屋記念(G3)</a>","<a href=""/race/200708040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200735093010/"" title=""岩手県知事杯OROカ(G)"">岩手県知事杯OROカ(G)</a>","<a href=""/race/200709030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200706040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200705040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200705040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200705040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200707020311/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/200708040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200709030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200705040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200706040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200744062711/"" title=""帝王賞競走(G1)"">帝王賞競走(G1)</a>"
前走オッズ,4.2,14.7,4.3,2.1,1.1,6.7,13.3,44.4,1.8,5.1,3.3,13.3,23.7,11.3,2.3,21.0
前走成績,2,2,1,2,1,1,2,1,3,5,1,5,14,8,1,1
2走前レース名,"<a href=""/race/200708030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/200701010809/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200605040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200709030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200734091311/"" title=""瑞穂賞〔H2〕(G)"">瑞穂賞〔H2〕(G)</a>","<a href=""/race/2007G0a00108/"" title=""クイーンエリザベスC(G1)"">クイーンエリザベスC(G1)</a>","<a href=""/race/200701010809/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200706040210/"" title=""ニューマーケットC(1600万下)"">ニューマーケットC(1600万下)</a>","<a href=""/race/200709030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200709040111/"" title=""朝日チャレンジC(G3)"">朝日チャレンジC(G3)</a>","<a href=""/race/200707010211/"" title=""トヨタ賞中京記念(G3)"">トヨタ賞中京記念(G3)</a>","<a href=""/race/200708030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/2007M0a00101/"" title=""シンガポール航空国際(G1)"">シンガポール航空国際(G1)</a>","<a href=""/race/200705030811/"" title=""エプソムC(G3)"">エプソムC(G3)</a>","<a href=""/race/200701010809/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200705030711/"" title=""ブリリアントS(OP)"">ブリリアントS(OP)</a>"
2走前オッズ,4.5,53.7,22.0,6.9,1.7,,29.3,3.1,7.0,4.6,10.4,4.6,,9.3,4.2,5.1
2走前成績,1,2,16,3,3,3,5,1,12,2,1,12,1,1,7,3
