,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,3,3,3,3,5,8,14,1,7,22,1,10,14,14,10,9,1,6
距離適性,106,73,97,60,55,41,59,58,46,53,47,83,50,54,105,51,72,51
脚質,3,66,106,75,110,20,94,78,107,75,86,71,30,8,95,102,105,99
成長,97,75,98,64,40,32,79,116,92,63,97,92,90,97,99,37,53,57
馬場適性,20,22,14,59,59,61,50,83,54,26,29,34,21,77,43,62,47,58
総合評価,4.58,3.88,4.17,3.98,4.16,4.14,3.49,3.61,3.52,3.65,3.88,3.93,4.1,3.85,4.09,3.56,3.84,3.42
実績評価,4.58,3.88,4.17,3.98,4.16,4.14,3.49,3.61,3.52,3.65,3.88,3.93,4.1,3.85,4.09,3.56,3.84,3.42
ポテンシャル評価,4.67,3.75,3.96,3.75,4.14,3.98,2.56,3.56,3.02,3.2,3.74,3.58,4.15,3.55,3.53,3.2,3.94,3.0
前走レース名,"<a href=""/race/201709030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201709030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201709030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201705040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201705040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201705040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201706040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201701020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201705040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201706040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201701020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201708040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/2017H1043008/"" title=""QE2世C(G1)"">QE2世C(G1)</a>","<a href=""/race/201701020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201709030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201709040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201705040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201705040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>"
前走オッズ,1.4,9.0,23.8,5.8,5.6,2.0,135.2,19.9,6.9,3.8,2.7,5.4,3.3,15.4,8.5,15.6,105.8,8.7
前走成績,9,1,5,1,6,8,6,1,3,2,3,4,1,6,4,9,7,2
