,0,1,2,3,4,5,6,7,8,9,10,11,12
芝適性,2,6,5,6,10,1,5,15,22,9,5,1,16
距離適性,75,38,91,47,83,58,55,45,53,77,58,20,87
脚質,92,101,42,37,71,78,110,58,75,87,109,116,42
成長,68,74,82,58,92,116,40,62,63,74,53,58,85
馬場適性,41,39,11,49,34,83,59,67,26,50,64,78,23
総合評価,4.29,4.19,4.4,4.29,3.93,3.61,4.16,3.74,3.65,3.96,3.64,3.57,3.78
実績評価,4.29,4.19,4.4,4.29,3.93,3.61,4.16,3.74,3.65,3.96,3.64,3.57,3.78
ポテンシャル評価,4.22,3.94,4.11,4.25,3.58,3.56,4.14,3.58,3.2,3.73,3.18,3.29,3.29
前走レース名,"<a href=""/race/201806040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201801020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201805040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201806040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201809030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201801020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201801020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201809030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201805040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201805030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/201805040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201807030811/"" title=""トヨタ賞中京記念(G3)"">トヨタ賞中京記念(G3)</a>","<a href=""/race/201806040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>"
前走オッズ,2.0,5.2,15.8,5.0,13.1,13.1,4.3,6.5,38.4,2.8,467.0,27.5,3.8
前走成績,1,1,3,2,1,6,2,4,4,3,11,13,3
2走前レース名,"<a href=""/race/2018J0033108/"" title=""ドバイシーマクラシッ(G1)"">ドバイシーマクラシッ(G1)</a>","<a href=""/race/201805030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/201809030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/2018H1042908/"" title=""QE2世C(G1)"">QE2世C(G1)</a>","<a href=""/race/201808030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201802020411/"" title=""函館記念(G3)"">函館記念(G3)</a>","<a href=""/race/201705050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/2018J0033107/"" title=""ドバイターフ(G1)"">ドバイターフ(G1)</a>","<a href=""/race/201809030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201809020411/"" title=""大阪杯(G1)"">大阪杯(G1)</a>","<a href=""/race/201806030111/"" title=""日経賞(G2)"">日経賞(G2)</a>","<a href=""/race/201805030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/201809030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>"
2走前オッズ,3.0,6.4,5.7,4.4,38.5,11.5,15.0,8.0,39.5,3.5,521.0,78.9,10.3
2走前成績,4,5,8,5,4,2,4,2,7,1,14,16,5
3走前レース名,"<a href=""/race/201808020611/"" title=""京都記念(G2)"">京都記念(G2)</a>","<a href=""/race/201808030211/"" title=""読売マイラーズC(G2)"">読売マイラーズC(G2)</a>","<a href=""/race/201806030111/"" title=""日経賞(G2)"">日経賞(G2)</a>","<a href=""/race/201809020411/"" title=""大阪杯(G1)"">大阪杯(G1)</a>","<a href=""/race/201808020611/"" title=""京都記念(G2)"">京都記念(G2)</a>","<a href=""/race/201806030111/"" title=""日経賞(G2)"">日経賞(G2)</a>","<a href=""/race/201705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201806020211/"" title=""中山記念(G2)"">中山記念(G2)</a>","<a href=""/race/201804010411/"" title=""新潟大賞典(G3)"">新潟大賞典(G3)</a>","<a href=""/race/201807020211/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201807020211/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201808030211/"" title=""読売マイラーズC(G2)"">読売マイラーズC(G2)</a>","<a href=""/race/2018H1042908/"" title=""QE2世C(G1)"">QE2世C(G1)</a>"
3走前オッズ,1.6,6.8,3.3,3.6,19.7,12.3,22.6,6.4,5.9,1.6,393.8,14.2,6.7
3走前成績,3,1,9,3,7,3,5,8,11,1,9,9,7
