0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,Unnamed: 0
ダイワスカーレット,アドマイヤモナーク,コスモバルク,マツリダゴッホ,エアジパング,アサクサキングス,,,エアシェイディ,ドリームジャーニー,スクリーンヒーロー,アルナスライン,カワカミプリンセス,メイショウサムソン,フローテーション,ベンチャーナイン,馬名
安藤勝己,川田将雅,松岡正海,蛯名正義,藤田伸二,四位洋文,,,後藤浩輝,池添謙一,Ｍデムー,ペリエ,横山典弘,武豊,ルメール,柴田善臣,騎手名
13,14,3,10,4,12,,,6,11,8,7,1,9,5,2,枠順
2:31.5,2:31.8,2:32.8,2:33.1,2:33.9,2:34.3,,,2:31.9,2:31.9,2:32.0,2:32.2,2:32.5,2:32.5,2:32.7,2:32.7,走破タイム
2.6,90.2,75.7,4.4,54.4,29.5,,,36.1,24.1,6.4,18.3,19.0,8.4,27.3,80.0,オッズ
1-1-1-1,14-14-13-11,6-5-10-11,11-11-5-4,5-5-5-11,4-4-2-4,,,8-8-5-7,11-13-13-9,10-8-5-2,11-11-10-9,2-2-5-7,2-2-2-2,6-5-2-4,8-8-12-11,通過順位
494(-4),468(+6),516(+2),498(+6),452(+8),498(0),,,496(+6),430(+10),488(+2),554(+14),488(-10),520(+4),486(+2),500(0),馬体重
牝4,牡7,牡7,牡5,セ5,牡4,,,牡7,牡4,牡4,牡4,牝5,牡5,牡3,牡3,性齢
55,57,57,57,57,57,,,57,57,57,57,55,57,55,55,斤量
36.4,35.8,37.0,37.5,38.3,39.1,,,36.4,35.9,36.5,36.4,37.0,37.3,37.5,36.8,上がり3ハロン
1,14,12,2,11,9,,,10,7,3,5,6,4,8,13,人気
13,8,20,8,11,7,,,5,6,25,15,9,10,10,16,芝適性
57,107,60,75,105,87,,,58,63,78,88,67,82,91,74,距離適性
5,97,6,36,65,13,,,84,110,39,72,83,24,64,102,脚質
52,95,46,78,81,61,,,76,70,80,76,61,67,77,62,成長
43,63,46,45,60,52,,,62,61,50,53,40,27,57,52,馬場適性
4.56,3.17,3.59,3.92,3.33,3.78,,,3.58,4.28,3.79,3.79,4.22,4.14,3.0,,総合評価
4.56,3.17,3.59,3.92,3.33,3.78,,,3.58,4.28,3.79,3.79,4.22,4.14,3.0,,実績評価
4.51,3.17,3.45,4.0,2.83,4.0,,,3.42,4.26,3.6,3.64,4.22,4.24,2.5,,ポテンシャル評価
"<a href=""/race/200805040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200805050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200805050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200805050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200806050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/200805050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>",,,"<a href=""/race/200805040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200805040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200805050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200805050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200808050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/200805050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200806050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/200806050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>",前走レース名
3.6,119.1,107.8,8.0,11.9,12.9,,,33.6,14.6,41.0,2.4,1.8,6.5,3.8,7.9,前走オッズ
2,12,17,4,1,8,,,5,10,1,3,2,6,2,4,前走成績
