0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,Unnamed: 0
オルフェーヴル,エイシンフラッシュ,ジャガーメイル,ローズキングダム,キングトップガン,ペルーサ,,,トゥザグローリー,ルーラーシップ,トーセンジョーダン,ヒルノダムール,ブエナビスタ,ヴィクトワールピサ,レッドデイヴィス,アーネストリー,馬名
池添謙一,ルメール,四位洋文,後藤浩輝,柴田善臣,安藤勝己,,,福永祐一,メンディ,ウィリア,藤田伸二,岩田康誠,Ｍデムー,武豊,佐藤哲三,騎手名
9,5,11,8,6,4,,,7,14,10,3,1,2,13,12,枠順
2:36.0,2:36.1,2:36.8,2:37.1,2:37.4,,,,2:36.1,2:36.2,2:36.3,2:36.4,2:36.5,2:36.5,2:36.5,2:36.6,走破タイム
2.2,26.8,77.1,51.1,132.9,---,,,47.1,52.9,9.2,30.4,3.2,10.2,18.2,13.6,オッズ
11-10-8-5,5-5-6-5,9-7-6-8,11-13-13-13,9-10-11-12,,,,8-7-10-8,11-10-11-11,3-3-3-3,6-7-8-8,4-3-3-3,2-2-2-2,6-5-3-5,1-1-1-1,通過順位
462(-4),488(-4),484(0),454(-8),506(-2),計不,,,536(+12),504(+6),482(+4),466(0),470(+6),520(+12),484(+2),534(+4),馬体重
牡3,牡4,牡7,牡4,牡8,牡4,,,牡4,牡4,牡5,牡4,牝5,牡4,セ3,牡6,性齢
55,57,57,57,57,57,,,57,57,57,57,55,57,55,57,斤量
33.3,33.6,34.2,34.0,34.5,,,,33.3,33.2,33.9,33.7,34.1,34.3,34.1,34.6,上がり3ハロン
1,7,12,10,13,,,,9,11,3,8,2,4,6,5,人気
6.0,6.0,2.0,6.0,51.0,6.0,,,26.0,9.0,7.0,6.0,5.0,12.0,6.0,7.0,芝適性
73.0,72.0,99.0,61.0,79.0,69.0,,,63.0,66.0,74.0,73.0,64.0,63.0,53.0,62.0,距離適性
107.0,92.0,105.0,81.0,42.0,100.0,,,54.0,81.0,35.0,97.0,108.0,44.0,27.0,23.0,脚質
74.0,57.0,94.0,48.0,86.0,64.0,,,75.0,81.0,73.0,61.0,48.0,53.0,53.0,82.0,成長
15.0,37.0,48.0,65.0,46.0,54.0,,,49.0,40.0,54.0,49.0,54.0,31.0,58.0,59.0,馬場適性
4.35,4.23,3.77,3.73,3.0,3.52,,,3.78,4.3,4.16,3.82,4.31,4.3,3.67,4.12,総合評価
4.35,4.23,3.77,3.73,3.0,3.52,,,3.78,4.3,4.16,3.82,4.31,4.3,3.67,4.12,実績評価
4.37,4.18,3.82,3.88,3.11,2.96,,,3.53,3.94,4.15,3.82,4.38,4.6,3.45,3.95,ポテンシャル評価
1.0,10.0,16.0,11.0,15.0,16.0,,,16.0,3.0,14.0,3.0,7.0,8.0,7.0,11.0,前走成績
2.0,3.0,9.0,12.0,10.0,17.0,,,5.0,3.0,17.0,11.0,1.0,13.0,6.0,10.0,前々走成績
1.0,1.0,6.0,12.0,16.0,7.0,,,12.0,3.0,10.0,4.0,4.0,1.0,4.0,11.0,前々前走成績
1.6,4.9,279.2,18.6,166.5,26.1,,,48.1,3.7,169.9,5.0,3.2,10.2,151.1,70.1,前走オッズ
,4.7,154.2,116.9,259.7,66.3,,,44.7,5.4,139.6,23.3,3.4,10.9,14.0,6.3,前々走オッズ
,7.9,48.2,51.6,45.8,95.6,,,15.8,4.5,67.2,9.5,2.8,,48.8,85.4,前々前走オッズ
