Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,ブラストワンピース,レイデオロ,シュヴァルグラン,ミッキーロケット,キセキ,サトノダイヤモンド,サクラアンプルール,モズカッチャン,オジュウチョウサン,マカヒキ,ミッキースワロー,リッジマン,スマートレイアー,パフォーマプロミス,クリンチャー,サウンズオブアース
騎手名,池添謙一,ルメール,ボウマン,マーフィ,川田将雅,アヴドゥ,田辺裕信,Ｍ．デム,武豊,岩田康誠,横山典弘,蛯名正義,戸崎圭太,Ｃ．デム,福永祐一,藤岡佑介
枠順,8,12,15,11,14,6,16,3,1,4,10,9,13,5,2,7
走破タイム,2:32.2,2:32.2,2:32.4,2:32.7,2:32.8,2:32.8,2:32.9,2:33.0,2:33.0,2:33.0,2:33.1,2:33.4,2:33.5,2:33.7,2:33.8,2:34.5
オッズ,8.9,2.2,22.7,22.5,5.9,18.1,147.0,9.1,9.2,42.5,28.8,117.2,196.6,20.6,32.2,144.2
通過順位,6-6-7-4,9-9-9-8,13-11-11-10,2-2-2-2,1-1-1-1,8-8-7-8,13-14-14-12,6-6-4-4,3-3-2-2,9-9-9-10,16-16-16-16,13-14-14-14,11-13-12-14,11-11-12-12,3-5-4-4,3-3-4-7
馬体重,534(+4),490(+8),470(+2),472(-2),506(+2),506(+2),486(+18),486(-4),514(+2),504(+10),480(-2),446(0),460(-18),464(+10),490(0),504(+14)
性齢,牡3,牡4,牡6,牡5,牡4,牡5,牡7,牝4,牡7,牡5,牡4,牡5,牝8,牡6,牡4,牡7
斤量,55,57,57,57,57,57,57,55,57,57,57,57,55,57,57,57
上がり3ハロン,35.7,35.4,35.5,36.6,37.5,36.2,35.6,36.7,36.9,36.3,35.4,36.1,36.4,36.7,37.5,38.2
人気,3,1,9,8,2,6,15,4,5,12,10,13,16,7,11,14
芝適性,2,2,3,10,5,4,1,8,10,5,8,1,1,9,10,2
距離適性,82,75,97,83,91,85,58,63,116,55,116,1,45,105,110,81
脚質,71,92,99,71,42,71,78,58,23,110,87,116,79,67,17,105
成長,78,68,101,92,82,49,116,75,114,40,92,1,84,103,100,86
馬場適性,25,41,57,34,11,42,83,48,25,59,58,39,51,53,26,60
総合評価,4.17,4.29,3.72,3.93,4.4,4.28,3.61,4.12,4.36,4.16,3.5,3.38,3.89,3.94,3.89,3.7
実績評価,4.17,4.29,3.72,3.93,4.4,4.28,3.61,4.12,4.36,4.16,3.5,3.38,3.89,3.94,3.89,3.7
ポテンシャル評価,4.04,4.22,3.49,3.58,4.11,4.14,3.56,3.82,4.46,4.14,3.5,3.75,3.65,3.53,3.57,3.32
前走レース名,"<a href=""/race/201808040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/201805040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201805050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201805040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201805050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201805050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201805040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201808050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201805050109/"" title=""南武特別(1000万下)"">南武特別(1000万下)</a>","<a href=""/race/201805040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201805050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201806050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/201808050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201805050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/2018C8100704/"" title=""凱旋門賞(G1)"">凱旋門賞(G1)</a>","<a href=""/race/201805050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>"
前走オッズ,3.4,3.1,12.9,22.0,9.2,7.1,135.2,3.6,3.1,7.0,62.6,3.9,30.1,4.8,8.6,246.5
前走成績,4,1,4,5,2,6,6,3,1,7,5,1,9,1,17,14
2走前レース名,"<a href=""/race/201804021211/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/201806040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201808040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201809030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201805040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201808040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201801020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201801020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201803020309/"" title=""開成山特別(500万下)"">開成山特別(500万下)</a>","<a href=""/race/201801020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201801020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201801020611/"" title=""丹頂S(OP)"">丹頂S(OP)</a>","<a href=""/race/201808040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201809030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/2018A8a01605/"" title=""フォワ賞(G2)"">フォワ賞(G2)</a>","<a href=""/race/201805040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>"
2走前オッズ,1.8,2.0,2.2,13.1,12.8,2.3,13.1,6.9,2.0,4.3,5.7,10.4,14.6,8.5,,53.3
2走前成績,1,1,4,1,3,1,6,3,1,2,13,1,8,9,6,9
3走前レース名,"<a href=""/race/201805021210/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/2018J0033108/"" title=""ドバイシーマクラシッ(G1)"">ドバイシーマクラシッ(G1)</a>","<a href=""/race/201808030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201808030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201805040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201809030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201802020411/"" title=""函館記念(G3)"">函館記念(G3)</a>","<a href=""/race/2018J0033108/"" title=""ドバイシーマクラシッ(G1)"">ドバイシーマクラシッ(G1)</a>","<a href=""/race/201806030711/"" title=""中山グランドジャンプ(J.G1)"">中山グランドジャンプ(J.G1)</a>","<a href=""/race/201705050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201809020411/"" title=""大阪杯(G1)"">大阪杯(G1)</a>","<a href=""/race/201805021212/"" title=""目黒記念(G2)"">目黒記念(G2)</a>","<a href=""/race/201809030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201805021212/"" title=""目黒記念(G2)"">目黒記念(G2)</a>","<a href=""/race/201808030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201801020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>"
3走前オッズ,4.6,3.0,3.0,38.5,15.8,3.9,11.5,8.3,1.5,15.0,12.3,57.7,55.9,3.9,8.0,70.4
3走前成績,5,4,2,4,3,6,2,6,1,4,5,14,10,3,3,4
