,0,1,2,3,4,5,6,7,8,9,10,11
芝適性,9,4,7,4,14,4,10,8,58,5,7,8
距離適性,71,97,65,59,55,58,110,80,49,105,110,101
脚質,87,85,59,113,69,103,87,3,102,112,13,24
成長,72,73,67,92,89,61,81,112,78,67,61,87
馬場適性,56,67,47,82,44,36,34,27,11,58,18,23
総合評価,4.38,3.57,4.31,3.75,3.25,3.25,3.33,4.29,4.3,3.25,3.8,3.25
実績評価,4.38,3.57,4.31,3.75,3.25,3.25,3.33,4.29,4.3,3.25,3.8,3.25
ポテンシャル評価,4.38,3.29,4.31,3.75,3.25,3.25,3.17,4.23,4.41,2.83,3.5,3.25
前走レース名,"<a href=""/race/200305040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200308040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200308040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200305040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200309050411/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>","<a href=""/race/200305040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200306060111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/200305040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200305030811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200306060111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/200305040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200305040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>"
前走オッズ,1.9,14.4,2.5,20.6,9.4,143.3,11.4,13.8,7.9,2.8,14.0,123.6
前走成績,3,2,4,15,1,10,1,1,17,10,2,5
2走前レース名,"<a href=""/race/200305030811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200309040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200309040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200305030811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200303030811/"" title=""福島記念(G3)"">福島記念(G3)</a>","<a href=""/race/200305030811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200308050409/"" title=""ドンカスターS(OP)"">ドンカスターS(OP)</a>","<a href=""/race/200308040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200335101310/"" title=""マイルチャンピオンシ(G1)"">マイルチャンピオンシ(G1)</a>","<a href=""/race/200305030811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200308040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200305040211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>"
2走前オッズ,2.7,13.0,3.9,9.6,9.3,38.7,2.9,2.2,,24.0,20.2,21.1
2走前成績,1,4,1,2,2,10,6,1,5,7,1,1
3走前レース名,"<a href=""/race/200309030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200305020410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200305020410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200309030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200302020411/"" title=""函館記念(G3)"">函館記念(G3)</a>","<a href=""/race/200304030611/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/200308040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200309030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200343091510/"" title=""日本テレビ盃(G2)"">日本テレビ盃(G2)</a>","<a href=""/race/200306050611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200309040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200308040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>"
3走前オッズ,2.1,35.6,6.4,30.4,8.3,6.1,32.3,9.3,,8.7,10.0,15.4
3走前成績,5,8,2,2,5,1,6,3,2,2,5,7
