,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
芝適性,7.0,8.0,5.0,4.0,6.0,4.0,81.0,4.0,4.0,8.0,20.0,9.0,10.0,4.0,4.0
距離適性,65.0,80.0,77.0,105.0,112.0,80.0,58.0,59.0,76.0,78.0,60.0,69.0,37.0,109.0,88.0
脚質,59.0,3.0,13.0,102.0,25.0,105.0,54.0,113.0,73.0,100.0,6.0,34.0,49.0,96.0,19.0
成長,67.0,112.0,98.0,93.0,83.0,60.0,62.0,92.0,80.0,95.0,46.0,59.0,46.0,94.0,75.0
馬場適性,47.0,27.0,91.0,66.0,43.0,75.0,29.0,82.0,63.0,45.0,46.0,61.0,67.0,45.0,45.0
総合評価,4.31,4.29,3.71,3.5,3.9,3.9,3.73,3.75,4.35,3.25,3.59,,3.0,3.97,3.25
実績評価,4.31,4.29,3.71,3.5,3.9,3.9,3.73,3.75,4.35,3.25,3.59,,3.0,3.97,3.25
ポテンシャル評価,4.31,4.23,3.5,3.38,4.0,3.5,3.68,3.75,4.27,3.25,3.45,,3.0,4.08,3.25
前走成績,8.0,12.0,17.0,15.0,16.0,6.0,4.0,8.0,10.0,2.0,10.0,13.0,9.0,16.0,5.0
前々走成績,3.0,10.0,9.0,8.0,10.0,8.0,6.0,4.0,3.0,15.0,12.0,8.0,5.0,3.0,6.0
前々前走成績,2.0,9.0,8.0,4.0,6.0,3.0,5.0,6.0,1.0,11.0,14.0,7.0,5.0,14.0,3.0
前走オッズ,6.8,19.7,177.6,39.5,53.0,30.1,,15.5,5.8,9.6,89.9,23.7,19.9,6.0,207.3
前々走オッズ,2.1,17.2,121.2,6.3,47.6,24.6,7.1,8.6,,133.6,123.9,26.2,35.0,14.8,3.9
前々前走オッズ,2.2,14.1,103.1,11.2,36.5,112.9,3.7,7.0,,217.8,131.5,4.7,11.4,13.1,7.1
