,0,1,2,3,4,5,6,7,8,9,10,11,12,13
芝適性,9,7,14,6,10,6,13,8,11,7,20,6,20,24
距離適性,83,104,48,71,82,112,98,77,66,56,60,67,100,57
脚質,110,76,10,104,24,25,76,100,9,113,6,100,19,20
成長,56,100,65,60,67,83,88,70,50,58,46,82,84,53
馬場適性,45,31,44,44,27,43,26,56,50,66,46,69,43,68
総合評価,4.63,3.75,4.27,3.91,4.14,3.9,3.25,3.25,3.0,4.03,3.59,3.5,,3.0
実績評価,4.63,3.75,4.27,3.91,4.14,3.9,3.25,3.25,3.0,4.03,3.59,3.5,,3.0
ポテンシャル評価,4.72,3.25,4.35,3.44,4.24,4.0,3.25,3.25,2.67,4.11,3.45,3.33,,3.0
前走レース名,"<a href=""/race/200605050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/2006B6a00107/"" title=""メルボルンC(G1)"">メルボルンC(G1)</a>","<a href=""/race/200608060611/"" title=""マイルチャンピオンS(G1)"">マイルチャンピオンS(G1)</a>","<a href=""/race/200605050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200605050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/2006B6a00107/"" title=""メルボルンC(G1)"">メルボルンC(G1)</a>","<a href=""/race/200605050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200608010611/"" title=""日経新春杯(G2)"">日経新春杯(G2)</a>","<a href=""/race/2006G0a00103/"" title=""香港ヴァーズ(G1)"">香港ヴァーズ(G1)</a>","<a href=""/race/200608060411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/200605050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200605050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200607040211/"" title=""中日新聞杯(G3)"">中日新聞杯(G3)</a>","<a href=""/race/200605050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>"
前走オッズ,1.3,,2.3,16.2,16.0,,4.1,5.4,,2.9,40.9,43.3,24.4,151.1
前走成績,1,2,1,2,6,1,1,1,8,2,4,8,7,9
2走前レース名,"<a href=""/race/2006A8100107/"" title=""凱旋門賞(G1)"">凱旋門賞(G1)</a>","<a href=""/race/2006B6102108/"" title=""コーフィールドC(G1)"">コーフィールドC(G1)</a>","<a href=""/race/200605040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200608050611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200608050611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/2006B6102108/"" title=""コーフィールドC(G1)"">コーフィールドC(G1)</a>","<a href=""/race/200608050211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200508050610/"" title=""古都S(1600万下)"">古都S(1600万下)</a>","<a href=""/race/200608050611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200605040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200605040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200605040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200605050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200608050611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>"
2走前オッズ,,,7.0,4.9,2.0,,7.2,3.5,6.2,3.9,6.2,16.9,6.7,48.9
2走前成績,失,7,1,2,4,3,3,1,3,5,4,2,8,16
3走前レース名,"<a href=""/race/200608040411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200605030412/"" title=""目黒記念(G2)"">目黒記念(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200607030611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200607030611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200608030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/200601010809/"" title=""札幌日経OP(OP)"">札幌日経OP(OP)</a>","<a href=""/race/200508040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200607030611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200608050211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200606040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200606040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200606040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200606040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>"
3走前オッズ,1.1,6.7,6.4,8.6,1.6,24.5,3.8,30.2,3.6,5.1,4.2,4.9,134.1,67.8
3走前成績,1,1,1,1,2,10,1,6,7,1,2,4,6,1
