,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,ヴィクトワールピサ,ブエナビスタ,トゥザグローリー,ペルーサ,トーセンジョーダン,ルーラーシップ,エイシンフラッシュ,ネヴァブション,ダノンシャンティ,フォゲッタブル,オウケンブルースリ,メイショウベルーガ,ドリームジャーニー,レッドディザイア,ジャミール,ローズキングダム
騎手名,Ｍデムー,スミヨン,ウィリア,安藤勝己,三浦皇成,ルメール,内田博幸,後藤浩輝,ベリー,岩田康誠,横山典弘,蛯名正義,池添謙一,四位洋文,福永祐一,武豊
枠順,1,7,11,14,4,5,10,2,9,3,13,8,12,15,16,6
走破タイム,2:32.6,2:32.6,2:32.6,2:32.7,2:32.9,2:33.0,2:33.0,2:33.4,2:33.6,2:33.6,2:33.7,2:33.8,2:33.8,2:34.0,2:34.0,
オッズ,8.4,1.7,75.9,8.9,20.0,17.6,12.6,59.9,39.5,62.3,24.9,38.4,12.1,47.2,91.8,---
通過順位,4-4-2-2,11-11-9-8,3-3-3-2,5-5-3-4,1-1-1-1,6-5-6-4,9-9-9-10,8-7-6-4,13-13-14-13,6-7-6-8,2-2-3-4,11-11-9-10,13-13-13-13,15-15-15-15,9-9-9-10,
馬体重,512(+2),464(+2),524(-4),510(0),490(+10),492(-4),488(0),494(+2),482(+14),484(-4),492(0),508(+10),434(+12),478(0),456(+4),計不
性齢,牡3,牝4,牡3,牡3,牡4,牡3,牡3,牡7,牡3,牡4,牡5,牝5,牡6,牝4,牡4,牡3
斤量,55,55,55,55,57,55,55,57,55,57,57,55,57,55,57,55
上がり3ハロン,34.6,33.8,34.4,34.4,34.9,34.4,34.2,34.8,34.3,35.0,35.4,35.0,34.7,34.2,35.1,
人気,2,1,14,3,7,6,5,12,10,13,8,9,4,11,15,
