0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,Unnamed: 0
ジェンティルドンナ,トゥザワールド,サトノノブレス,ウインバリアシオン,ワンアンドオンリー,ヴィルシーナ,メイショウマンボ,オーシャンブルー,ゴールドシップ,ジャスタウェイ,エピファネイア,ラキシス,ラストインパクト,トーセンラー,デニムアンドルビー,フェノーメノ,馬名
戸崎圭太,ビュイッ,池添謙一,藤岡康太,横山典弘,内田博幸,武幸四郎,蛯名正義,岩田康誠,福永祐一,川田将雅,Ｃ．デム,菱田裕二,武豊,浜中俊,田辺裕信,騎手名
4,6,11,9,3,2,8,16,14,15,13,5,7,1,12,10,枠順
2:35.3,2:35.4,2:35.9,2:35.9,2:36.0,2:36.1,2:36.4,2:36.4,2:35.4,2:35.5,2:35.5,2:35.5,2:35.5,2:35.7,2:35.7,2:35.7,走破タイム
8.7,31.2,81.0,34.9,11.8,77.7,86.3,87.1,3.5,4.6,4.0,36.3,17.6,22.8,118.6,15.3,オッズ
3-3-3-2,7-7-6-7,13-13-14-15,10-11-10-7,5-5-6-10,1-1-1-2,16-16-16-16,15-15-14-14,11-10-6-5,13-13-13-12,2-2-2-1,5-5-5-2,8-9-10-10,3-3-3-5,11-11-10-12,8-7-6-7,通過順位
470(-2),524(+4),512(+4),530(-4),492(+4),458(+4),486(-4),432(-4),510(0),504(+6),494(+2),458(0),484(-2),462(-4),448(+6),502(+8),馬体重
牝5,牡3,牡4,牡6,牡3,牝5,牝4,牡6,牡5,牡5,牡4,牝4,牡4,牡6,牝4,牡5,性齢
55,55,57,57,55,55,55,57,57,57,57,55,57,57,55,57,斤量
34.1,33.8,33.6,34.1,34.4,35.4,33.9,34.2,33.9,33.4,34.6,34.1,33.7,34.4,33.9,34.2,上がり3ハロン
4,9,13,10,5,12,14,15,1,3,2,11,7,8,16,6,人気
3,11,4,3,1,6,4,,5,3,10,1,12,2,1,5,芝適性
62,62,62,96,72,60,56,,100,57,75,63,76,64,65,77,距離適性
52,46,75,109,105,20,112,,108,109,49,85,47,97,114,35,脚質
50,63,62,76,53,55,56,,74,98,62,75,74,63,58,67,成長
83,47,57,32,47,61,39,,14,49,38,46,51,84,22,55,馬場適性
4.29,3.91,3.44,4.09,3.84,3.67,3.85,,4.16,4.25,4.11,3.63,3.96,3.55,3.39,4.03,総合評価
4.29,3.91,3.44,4.09,3.84,3.67,3.85,,4.16,4.25,4.11,3.63,3.96,3.55,3.39,4.03,実績評価
