,0,1,2,3,4,5,6,7,8,9,10,11,12
芝適性,9,8,4,3,8,11,4,4,4,3,4,8,12
距離適性,71,80,88,106,57,61,75,76,74,41,109,101,63
脚質,87,3,19,33,35,48,111,99,105,5,96,24,16
成長,72,112,75,67,49,31,50,60,32,35,94,87,89
馬場適性,56,27,45,95,71,57,42,61,68,41,45,23,24
総合評価,4.38,4.29,3.25,4.08,4.15,3.5,4.33,,3.63,4.09,3.97,3.25,
実績評価,4.38,4.29,3.25,4.08,4.15,3.5,4.33,,3.63,4.09,3.97,3.25,
ポテンシャル評価,4.38,4.23,3.25,3.77,3.73,3.5,4.19,,3.88,4.14,4.08,3.25,
前走レース名,"<a href=""/race/200206040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200208050711/"" title=""京阪杯(G3)"">京阪杯(G3)</a>","<a href=""/race/200206040211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200206040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200208050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/200206040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200206040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200206040211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200206040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200206040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200208040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200206050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/200206040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>"
前走オッズ,3.4,13.6,3.3,3.9,1.2,13.2,4.2,27.9,19.7,22.4,36.6,4.5,70.6
前走成績,3,5,2,10,1,8,5,11,12,9,1,5,14
2走前レース名,"<a href=""/race/200206030811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200206040211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200201010411/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200206030811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200208040411/"" title=""秋華賞(G1)"">秋華賞(G1)</a>","<a href=""/race/200208040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200208030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/200209030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200206030811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200206030811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200209040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200206040211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200206040211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>"
2走前オッズ,6.5,3.5,4.6,5.1,1.1,2.5,3.5,28.9,8.6,4.9,16.1,8.4,7.3
2走前成績,1,3,3,2,1,中,2,12,4,13,6,7,8
3走前レース名,"<a href=""/race/200209040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200208040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200202020711/"" title=""漁火S(1600万下)"">漁火S(1600万下)</a>","<a href=""/race/200208040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200209040411/"" title=""関西TVローズS(G2)"">関西TVローズS(G2)</a>","<a href=""/race/200209040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200209010811/"" title=""阪神大賞典(G2)"">阪神大賞典(G2)</a>","<a href=""/race/200205040111/"" title=""目黒記念(G2)"">目黒記念(G2)</a>","<a href=""/race/200209030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200201010411/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200209040209/"" title=""野分特別(1000万下)"">野分特別(1000万下)</a>","<a href=""/race/200206030211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200206030211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>"
3走前オッズ,2.1,8.9,1.7,1.7,1.2,5.7,2.2,9.2,2.9,5.1,2.0,63.3,19.9
3走前成績,1,3,1,1,1,2,2,9,4,1,1,7,3
