,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
芝適性,8,13,14,13,7,6,24,10,6,20,7,6,8,4,10
距離適性,75,57,48,74,104,71,68,82,80,60,55,112,71,80,67
脚質,36,5,10,45,76,104,47,24,48,6,84,25,60,105,10
成長,78,52,65,67,100,60,83,67,67,46,54,83,89,60,45
馬場適性,45,43,44,31,31,44,51,27,38,46,69,43,74,75,41
総合評価,3.92,4.56,4.27,3.25,3.75,3.91,3.5,4.14,3.5,3.59,4.3,3.9,3.0,3.9,3.0
実績評価,3.92,4.56,4.27,3.25,3.75,3.91,3.5,4.14,3.5,3.59,4.3,3.9,3.0,3.9,3.0
ポテンシャル評価,4.0,4.51,4.35,3.25,3.25,3.44,2.75,4.24,3.3,3.45,4.58,4.0,3.0,3.5,2.75
前走レース名,"<a href=""/race/200705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200708050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/200708050611/"" title=""マイルチャンピオンS(G1)"">マイルチャンピオンS(G1)</a>","<a href=""/race/200708040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200705050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200705050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200705050710/"" title=""オリエンタル賞(1000万下)"">オリエンタル賞(1000万下)</a>","<a href=""/race/200705050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200705050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200705050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200705050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200705050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200705050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200709050311/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>","<a href=""/race/200708040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>"
前走オッズ,32.4,1.9,3.8,3.5,10.5,16.0,4.3,1.8,7.4,110.1,6.1,147.2,63.0,28.7,18.9
前走成績,15,1,1,3,2,14,5,3,10,13,4,5,6,1,14
2走前レース名,"<a href=""/race/200706040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200708040511/"" title=""秋華賞(G1)"">秋華賞(G1)</a>","<a href=""/race/200705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200706040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200709010811/"" title=""阪神大賞典(G2)"">阪神大賞典(G2)</a>","<a href=""/race/200705040909/"" title=""精進湖特別(1000万下)"">精進湖特別(1000万下)</a>","<a href=""/race/200705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200708040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200708050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/200705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200705050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200706040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>"
2走前オッズ,2.3,2.8,5.6,2.9,6.1,1.6,7.6,2.9,2.4,46.9,,48.0,17.1,12.8,5.3
2走前成績,1,1,9,1,4,2,3,1,1,5,取,12,8,6,9
