,0,1,2,3,4,5,6,7,8,9,10,11,12,13
馬名,ダイワスカーレット,アドマイヤモナーク,エアシェイディ,ドリームジャーニー,スクリーンヒーロー,アルナスライン,カワカミプリンセス,メイショウサムソン,フローテーション,ベンチャーナイン,コスモバルク,マツリダゴッホ,エアジパング,アサクサキングス
騎手名,安藤勝己,川田将雅,後藤浩輝,池添謙一,Ｍデムー,ペリエ,横山典弘,武豊,ルメール,柴田善臣,松岡正海,蛯名正義,藤田伸二,四位洋文
枠順,13,14,6,11,8,7,1,9,5,2,3,10,4,12
走破タイム,2:31.5,2:31.8,2:31.9,2:31.9,2:32.0,2:32.2,2:32.5,2:32.5,2:32.7,2:32.7,2:32.8,2:33.1,2:33.9,2:34.3
オッズ,2.6,90.2,36.1,24.1,6.4,18.3,19.0,8.4,27.3,80.0,75.7,4.4,54.4,29.5
通過順位,1-1-1-1,14-14-13-11,8-8-5-7,11-13-13-9,10-8-5-2,11-11-10-9,2-2-5-7,2-2-2-2,6-5-2-4,8-8-12-11,6-5-10-11,11-11-5-4,5-5-5-11,4-4-2-4
馬体重,494(-4),468(+6),496(+6),430(+10),488(+2),554(+14),488(-10),520(+4),486(+2),500(0),516(+2),498(+6),452(+8),498(0)
性齢,牝4,牡7,牡7,牡4,牡4,牡4,牝5,牡5,牡3,牡3,牡7,牡5,セ5,牡4
斤量,55,57,57,57,57,57,55,57,55,55,57,57,57,57
上がり3ハロン,36.4,35.8,36.4,35.9,36.5,36.4,37.0,37.3,37.5,36.8,37.0,37.5,38.3,39.1
人気,1,14,10,7,3,5,6,4,8,13,12,2,11,9
