,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,サトノダイヤモンド,キタサンブラック,ゴールドアクター,ヤマカツエース,ミッキークイーン,シュヴァルグラン,アルバート,サウンズオブアース,デニムアンドルビー,マリアライト,アドマイヤデウス,ヒットザターゲット,サトノノブレス,ムスカテール,マルターズアポジー,サムソンズプライド
騎手名,ルメール,武豊,吉田隼人,池添謙一,浜中俊,福永祐一,戸崎圭太,Ｍ．デム,バルザロ,蛯名正義,岩田康誠,田辺裕信,シュミノ,中谷雄太,武士沢友,横山典弘
枠順,11,1,2,4,8,14,15,6,13,16,10,9,12,3,7,5
走破タイム,2:32.6,2:32.6,2:32.7,2:32.9,2:33.0,2:33.1,2:33.3,2:33.4,2:33.4,2:33.6,2:33.6,2:34.1,2:34.8,2:34.9,2:35.0,2:35.6
オッズ,2.6,2.7,7.9,32.6,21.9,16.2,68.0,8.7,71.0,19.3,51.5,189.6,155.2,202.3,83.1,180.3
通過順位,4-3-3-3,2-2-2-2,3-3-3-3,9-10-13-12,9-9-6-6,11-10-8-5,11-12-15-16,11-12-10-8,14-14-10-8,7-7-8-11,4-5-6-6,16-16-15-13,7-5-3-8,14-14-13-14,1-1-1-1,6-7-10-14
馬体重,502(+4),536(0),498(-6),508(+4),434(-8),484(+2),472(0),506(+4),444(0),436(+4),490(+14),520(+4),510(-2),492(+2),536(+8),484(0)
性齢,牡3,牡4,牡5,牡4,牝4,牡4,牡5,牡5,牝6,牝5,牡5,牡8,牡6,牡8,牡4,牡6
斤量,55,57,57,57,55,57,57,57,55,55,57,57,57,57,57,57
上がり3ハロン,35.5,35.8,35.7,35.1,35.8,35.7,35.3,35.8,35.7,36.2,36.3,36.1,37.8,37.1,38.3,38.0
人気,1,2,3,8,7,5,10,4,11,6,9,15,13,16,12,14
