,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
芝適性,9,9,6,6,15,8,8,15,16,12,12,83,14,13,9,11
距離適性,83,67,67,66,76,77,79,52,54,87,55,50,30,74,65,65
脚質,110,56,101,104,17,100,76,68,86,96,44,99,84,84,7,58
成長,56,54,64,62,65,70,71,60,57,80,67,74,44,65,77,58
馬場適性,45,26,68,47,56,56,57,53,42,63,64,45,66,40,28,59
総合評価,4.63,3.81,3.25,3.58,3.0,3.25,,,,,,,,,3.36,
実績評価,4.63,3.81,3.25,3.58,3.0,3.25,,,,,,,,,3.36,
ポテンシャル評価,4.72,3.69,3.25,3.17,3.0,3.25,,,,,,,,,3.64,
前走レース名,"<a href=""/race/200509040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200509040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200509040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200509040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200506040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200506040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200506040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200506040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200504020810/"" title=""信濃川特別(1000万下)"">信濃川特別(1000万下)</a>","<a href=""/race/200510030809/"" title=""不知火特別(1000万下)"">不知火特別(1000万下)</a>","<a href=""/race/200506040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200509040609/"" title=""川西特別(1000万下)"">川西特別(1000万下)</a>","<a href=""/race/200508040409/"" title=""堀川特別(1000万下)"">堀川特別(1000万下)</a>","<a href=""/race/200505040110/"" title=""本栖湖特別(1000万下)"">本栖湖特別(1000万下)</a>","<a href=""/race/200501020310/"" title=""グリーンチャンネルC(500万下)"">グリーンチャンネルC(500万下)</a>","<a href=""/race/200509040809/"" title=""美作特別(1000万下)"">美作特別(1000万下)</a>"
前走オッズ,1.1,21.1,36.2,33.0,3.8,4.7,6.1,25.5,3.0,71.9,14.5,42.7,12.7,13.9,3.7,6.8
前走成績,1,5,3,2,2,4,10,5,12,8,3,1,1,5,1,6
