,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,5,10,76,1,16,8,6,1,58,9,26,10,34,1,12,15,1,15
距離適性,91,110,58,116,87,116,47,29,58,73,37,52,58,110,66,87,58,58
脚質,42,17,27,58,42,87,37,116,1,78,79,108,65,45,79,1,1,1
成長,82,100,31,58,85,92,58,1,58,71,38,40,68,99,56,58,20,58
馬場適性,11,26,67,29,23,58,49,29,1,52,78,24,68,1,48,12,29,29
総合評価,4.4,3.89,4.1,2.5,3.78,3.5,4.29,3.38,3.5,3.29,4.05,4.2,3.28,3.5,4.02,3.83,3.6,3.6
実績評価,4.4,3.89,4.1,2.5,3.78,3.5,4.29,3.38,3.5,3.29,4.05,4.2,3.28,3.5,4.02,3.83,3.6,3.6
ポテンシャル評価,4.11,3.57,3.7,2.5,3.29,3.5,4.25,3.13,3.5,2.68,3.4,3.84,3.06,3.07,3.59,3.17,2.8,3.35
前走レース名,"<a href=""/race/201709040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201706040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201704020810/"" title=""阿賀野川特別(1000万下)"">阿賀野川特別(1000万下)</a>","<a href=""/race/201706040609/"" title=""九十九里特別(1000万下)"">九十九里特別(1000万下)</a>","<a href=""/race/201709040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201706040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201706040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201708040210/"" title=""清滝特別(1000万下)"">清滝特別(1000万下)</a>","<a href=""/race/201706040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201706040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201709040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201605050511/"" title=""東京スポーツ杯2歳S(G3)"">東京スポーツ杯2歳S(G3)</a>","<a href=""/race/201709040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201706040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201701020512/"" title=""日高特別(1000万下)"">日高特別(1000万下)</a>","<a href=""/race/201704021211/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/201709040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201709040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>"
前走オッズ,3.5,10.7,3.7,4.8,8.6,6.1,1.7,5.8,26.0,6.6,6.9,3.2,14.9,23.6,3.2,19.6,74.9,17.2
前走成績,2,9,1,1,4,1,2,1,5,3,3,1,6,4,1,4,10,7
2走前レース名,"<a href=""/race/201704020310/"" title=""信濃川特別(1000万下)"">信濃川特別(1000万下)</a>","<a href=""/race/201705021210/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201707030610/"" title=""シンガポールTC賞(1000万下)"">シンガポールTC賞(1000万下)</a>","<a href=""/race/201701020111/"" title=""札幌日刊スポーツ杯(1000万下)"">札幌日刊スポーツ杯(1000万下)</a>","<a href=""/race/201705021210/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201703020710/"" title=""いわき特別(1000万下)"">いわき特別(1000万下)</a>","<a href=""/race/201705021210/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201709040408/"" title=""3歳以上500万下"">3歳以上500万下</a>","<a href=""/race/201705020611/"" title=""NHKマイルC(G1)"">NHKマイルC(G1)</a>","<a href=""/race/201703020211/"" title=""ラジオNIKKEI賞(G3)"">ラジオNIKKEI賞(G3)</a>","<a href=""/race/201705021210/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201605040111/"" title=""サウジアラビアRC(G3)"">サウジアラビアRC(G3)</a>","<a href=""/race/201705021210/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201702020610/"" title=""松前特別(1000万下)"">松前特別(1000万下)</a>","<a href=""/race/201705020311/"" title=""テレビ東京杯青葉賞(G2)"">テレビ東京杯青葉賞(G2)</a>","<a href=""/race/201703020211/"" title=""ラジオNIKKEI賞(G3)"">ラジオNIKKEI賞(G3)</a>","<a href=""/race/201706030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/201705021210/"" title=""東京優駿(G1)"">東京優駿(G1)</a>"
2走前オッズ,2.0,30.2,6.9,16.2,14.5,2.4,6.3,7.0,15.2,3.1,8.0,5.0,61.2,9.0,7.6,15.8,43.7,188.8
2走前成績,1,13,6,5,6,3,5,1,11,6,10,1,9,3,7,2,17,4
