,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,ディープインパクト,アドマイヤジャパン,ローゼンクロイツ,シックスセンス,フサイチアウステル,アドマイヤフジ,コンラッド,マルブツライト,エイシンサリヴァン,ミツワスカイハイ,ピサノパテック,ヤマトスプリンター,マルカジーク,ディーエスハリアー,シャドウゲイト,レットバトラー
騎手名,武豊,横山典弘,安藤勝己,四位洋文,藤田伸二,福永祐一,小牧太,松岡正海,吉田豊,渡辺薫彦,岩田康誠,池添謙一,角田晃一,石橋脩,佐藤哲三,幸英明
枠順,7,6,4,11,14,5,1,15,9,3,12,2,16,13,8,10
走破タイム,3:04.6,3:04.9,3:05.6,3:05.7,3:06.0,3:06.9,3:07.3,3:07.3,3:07.4,3:07.5,3:07.7,3:07.8,3:08.6,3:09.2,3:09.6,3:09.8
オッズ,1.0,50.3,25.3,20.7,32.9,30.2,60.5,114.1,161.8,161.3,75.0,111.1,144.8,125.9,77.1,151.9
通過順位,7-7-7-7,2-2-2-2,4-4-4-3,9-9-9-8,6-5-5-5,9-9-8-8,5-5-5-5,11-11-9-10,11-11-13-14,13-13-13-10,3-3-3-3,16-16-16-16,15-15-13-12,8-8-9-12,1-1-1-1,13-13-12-14
馬体重,444(-4),474(0),472(-2),456(+6),476(0),522(-6),496(0),470(-4),474(-4),472(+20),480(-6),458(+4),468(-2),456(-10),482(+2),502(0)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,33.3,35.5,34.8,34.2,35.0,35.4,36.3,35.8,35.3,35.7,36.9,35.6,36.8,37.6,40.7,38.0
人気,1,6,3,2,5,4,7,11,16,15,8,10,13,12,9,14
