,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,タイトルホルダー,オーソクレース,ディヴァインラヴ,ステラヴェローチェ,ディープモンスター,ヴェローチェオロ,アリーヴォ,エアサージュ,アサマノイタズラ,ヴィクティファルス,セファーラジエル,ロードトゥフェイム,レッドジェネシス,モンテディオ,グラティアス,ヴァイスメテオール,ノースザワールド,ワールドリバイバル
騎手名,横山武史,ルメール,福永祐一,吉田隼人,武豊,幸英明,Ｍ．デム,藤岡佑介,田辺裕信,池添謙一,鮫島克駿,丹内祐次,川田将雅,横山和生,松山弘平,丸山元気,和田竜二,津村明秀
枠順,3,18,11,14,7,9,13,8,2,17,6,4,5,10,16,15,12,1
走破タイム,3:04.6,3:05.4,3:05.4,3:05.4,3:05.6,3:05.7,3:05.8,3:05.9,3:06.0,3:06.1,3:06.2,3:06.2,3:06.3,3:06.7,3:06.7,3:07.1,3:07.5,3:08.5
オッズ,8.0,5.4,17.3,4.1,18.1,44.1,40.3,36.3,13.1,18.4,90.8,60.1,3.9,46.4,59.7,21.7,105.5,85.4
通過順位,1-1-1-1,11-11-10-9,6-6-6-6,15-15-15-9,8-9-10-11,12-12-12-14,8-9-7-7,4-4-5-4,18-18-18-17,8-8-7-7,2-2-2-2,12-12-13-14,17-17-17-16,2-3-2-3,4-4-4-4,14-14-13-13,15-15-15-17,6-6-7-11
馬体重,464(-2),474(-2),484(0),494(-12),450(-4),470(+2),492(0),514(-18),492(-6),474(0),524(+2),492(+10),494(+4),474(0),494(-6),494(-8),470(-2),512(+6)
性齢,牡3,牡3,牝3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,55,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,35.1,34.8,35.2,34.7,34.9,34.9,35.4,35.9,34.7,35.7,36.6,35.4,35.1,36.9,36.8,36.3,36.4,38.1
人気,4,3,6,2,7,12,11,10,5,8,17,15,1,13,14,9,18,16
