0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9,Unnamed: 0
アーモンドアイ,フィエールマン,ブラストワンピース,ダノンキングリー,,,,,,,クロノジェネシス,ダノンプレミアム,キセキ,ダイワキャグニー,ジナンボー,カデナ,スカーレットカラー,ウインブライト,馬名
ルメール,福永祐一,池添謙一,戸崎圭太,,,,,,,北村友一,川田将雅,武豊,内田博幸,Ｍ．デム,田辺裕信,岩田康誠,松岡正海,騎手名
9,6,1,4,,,,,,,7,11,8,3,12,2,10,5,枠順
1:57.8,1:57.9,1:59.5,2:00.7,,,,,,,1:57.9,1:58.2,1:58.6,1:59.0,1:59.1,1:59.2,1:59.2,1:59.4,走破タイム
1.4,17.4,32.3,13.3,,,,,,,4.4,21.6,16.7,89.8,89.0,146.1,42.3,180.6,オッズ
3-3-4,10-9-10,8-5-6,5-6-6,,,,,,,8-9-9,1-1-1,3-3-2,2-2-2,7-6-4,12-11-11,11-11-12,5-6-6,通過順位
490(+2),478(-12),550(+8),450(-6),,,,,,,464(0),496(-10),508(+6),496(-2),492(+6),478(+2),488(+14),484(0),馬体重
牝5,牡5,牡5,牡4,,,,,,,牝4,牡5,牡6,セ6,牡5,牡6,牝5,牡6,性齢
56,58,58,58,,,,,,,56,58,58,58,58,58,56,58,斤量
33.1,32.7,34.6,35.8,,,,,,,32.8,34.0,34.1,34.5,34.4,33.9,33.7,34.5,上がり3ハロン
1,5,7,3,,,,,,,2,6,4,10,9,11,8,12,人気
4,3,2,1,,,,,,,1,2,5,21,7,9,8,7,芝適性
56,99,82,22,,,,,,,63,34,91,58,58,51,50,29,距離適性
77,111,71,80,,,,,,,76,8,42,31,13,102,108,56,脚質
62,74,78,35,,,,,,,91,27,82,77,48,37,75,116,成長
42,75,25,116,,,,,,,9,46,11,51,63,62,67,7,馬場適性
4.88,4.36,4.17,4.13,,,,,,,4.35,4.31,4.4,4.21,3.76,3.56,3.4,4.26,総合評価
4.88,4.36,4.17,4.13,,,,,,,4.35,4.31,4.4,4.21,3.76,3.56,3.4,4.26,実績評価
4.88,4.33,4.04,3.78,,,,,,,4.31,4.18,4.11,3.84,3.21,3.2,3.35,4.12,ポテンシャル評価
"<a href=""/race/202005030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/202008030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/202009030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/202005030211/"" title=""安田記念(G1)"">安田記念(G1)</a>",,,,,,,"<a href=""/race/202009030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/202005030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/202008040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/202005040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/202004030811/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/202005040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/202001010411/"" title=""クイーンS(G3)"">クイーンS(G3)</a>","<a href=""/race/202006020211/"" title=""中山記念(G2)"">中山記念(G2)</a>",前走レース名
1.3,2.0,9.9,12.9,,,,,,,4.1,12.7,3.5,10.6,7.8,25.0,3.3,5.1,前走オッズ
2,1,16,7,,,,,,,1,13,2,2,2,4,3,7,前走成績
"<a href=""/race/202005020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/201906050811/"" title=""有馬記念(G1)"">有馬記念(G1)</a>","<a href=""/race/202009020411/"" title=""大阪杯(G1)"">大阪杯(G1)</a>","<a href=""/race/202009020411/"" title=""大阪杯(G1)"">大阪杯(G1)</a>",,,,,,,"<a href=""/race/202009020411/"" title=""大阪杯(G1)"">大阪杯(G1)</a>","<a href=""/race/2020GE041108/"" title=""クイーンエリザベスS(G1)"">クイーンエリザベスS(G1)</a>","<a href=""/race/202009030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/202005030411/"" title=""エプソムC(G3)"">エプソムC(G3)</a>","<a href=""/race/202003020411/"" title=""七夕賞(G3)"">七夕賞(G3)</a>","<a href=""/race/202004030811/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/202005020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/2019H1120808/"" title=""香港C(G1)"">香港C(G1)</a>",2走前レース名
1.4,18.4,4.3,3.8,,,,,,,5.2,2.0,14.2,22.1,4.8,11.8,21.0,3.3,2走前オッズ
1,4,7,3,,,,,,,2,3,2,1,9,6,15,1,2走前成績
