,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,5,3,5,4,11,10,1,4,9,6,11,14,5,5,11,6,7,18
距離適性,71,62,53,62,65,75,65,62,32,61,55,59,54,77,28,69,74,58
脚質,98,52,40,87,96,49,114,75,7,105,21,94,101,35,104,100,35,97
成長,74,50,50,72,83,62,58,62,51,85,57,79,72,67,70,64,73,52
馬場適性,63,83,66,62,61,38,22,57,44,58,40,50,64,55,60,54,54,54
総合評価,3.82,4.28,4.13,3.5,3.34,4.11,3.39,3.44,3.92,3.75,3.5,3.49,3.5,4.03,3.66,3.52,4.16,3.63
実績評価,3.82,4.28,4.13,3.5,3.34,4.11,3.39,3.44,3.92,3.75,3.5,3.49,3.5,4.03,3.66,3.52,4.16,3.63
ポテンシャル評価,3.15,4.42,4.17,3.36,2.98,3.76,3.24,2.87,3.79,3.49,3.21,2.56,3.2,3.86,3.21,2.96,4.15,3.5
前走レース名,"<a href=""/race/201405040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201409030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201404030411/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201401020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201408040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/2014G0a00408/"" title=""QE2世C(G1)"">QE2世C(G1)</a>","<a href=""/race/201409030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201404030611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201404030611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201405040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201404030611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201405040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201404021211/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/201408030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201404030611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201405040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201409030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201404030611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>"
前走オッズ,8.3,4.1,1.4,21.5,8.1,,24.3,2.2,14.5,8.2,7.2,11.5,4.6,11.5,52.7,47.3,67.2,51.7
前走成績,3,9,1,4,4,4,5,16,7,12,1,4,1,1,4,9,10,12
2走前レース名,"<a href=""/race/201405020911/"" title=""メイS(OP)"">メイS(OP)</a>","<a href=""/race/2014C7a00808/"" title=""ドバイシーマC(G1)"">ドバイシーマC(G1)</a>","<a href=""/race/201405021210/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201402020611/"" title=""函館記念(G3)"">函館記念(G3)</a>","<a href=""/race/201409030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201409020411/"" title=""産経大阪杯(G2)"">産経大阪杯(G2)</a>","<a href=""/race/201405020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/201410020411/"" title=""小倉記念(G3)"">小倉記念(G3)</a>","<a href=""/race/201405030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/201402020611/"" title=""函館記念(G3)"">函館記念(G3)</a>","<a href=""/race/201403020411/"" title=""七夕賞(G3)"">七夕賞(G3)</a>","<a href=""/race/201405030411/"" title=""エプソムC(G3)"">エプソムC(G3)</a>","<a href=""/race/201410020411/"" title=""小倉記念(G3)"">小倉記念(G3)</a>","<a href=""/race/201406030111/"" title=""日経賞(G2)"">日経賞(G2)</a>","<a href=""/race/201407030811/"" title=""トヨタ賞中京記念(G3)"">トヨタ賞中京記念(G3)</a>","<a href=""/race/201405030411/"" title=""エプソムC(G3)"">エプソムC(G3)</a>","<a href=""/race/201409030111/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>","<a href=""/race/201404021211/"" title=""新潟記念(G3)"">新潟記念(G3)</a>"
2走前オッズ,2.7,,2.7,7.1,70.9,1.9,10.3,4.9,16.6,13.7,3.1,4.3,9.9,3.7,5.3,11.2,8.3,70.5
2走前成績,1,1,2,1,4,3,7,1,9,2,3,1,2,5,10,15,8,6
3走前レース名,"<a href=""/race/201305050409/"" title=""ノベンバーS(1600万下)"">ノベンバーS(1600万下)</a>","<a href=""/race/201408020611/"" title=""京都記念(G2)"">京都記念(G2)</a>","<a href=""/race/201406030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/201405021212/"" title=""目黒記念(G2)"">目黒記念(G2)</a>","<a href=""/race/201408030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201308040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/2014C7a00808/"" title=""ドバイシーマC(G1)"">ドバイシーマC(G1)</a>","<a href=""/race/201408030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201406030411/"" title=""ダービー卿チャレンジ(G3)"">ダービー卿チャレンジ(G3)</a>","<a href=""/race/201405030411/"" title=""エプソムC(G3)"">エプソムC(G3)</a>","<a href=""/race/201405030411/"" title=""エプソムC(G3)"">エプソムC(G3)</a>","<a href=""/race/201408030711/"" title=""都大路S(OP)"">都大路S(OP)</a>","<a href=""/race/201407020111/"" title=""中日新聞杯(G3)"">中日新聞杯(G3)</a>","<a href=""/race/201309030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201409030111/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>","<a href=""/race/201405010111/"" title=""白富士S(OP)"">白富士S(OP)</a>","<a href=""/race/201306050810/"" title=""有馬記念(G1)"">有馬記念(G1)</a>","<a href=""/race/201401010211/"" title=""エルムS(G3)"">エルムS(G3)</a>"
3走前オッズ,1.4,1.6,5.1,32.4,206.5,1.6,,36.9,6.9,17.7,11.2,3.2,30.7,3.2,25.3,9.3,24.8,35.0
3走前成績,1,6,1,2,15,1,10,8,1,3,2,2,1,4,3,12,14,12
