,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
芝適性,3,3,22,16,8,21,12,2,2,4,3,2,15,3,1
距離適性,36,60,53,47,56,72,60,57,58,62,48,49,73,73,47
脚質,92,75,75,82,20,94,102,110,29,75,75,2,47,66,86
成長,97,64,63,52,58,61,53,77,89,62,59,81,58,75,97
馬場適性,46,59,26,75,54,46,59,48,67,57,63,44,20,22,29
総合評価,4.28,3.98,3.65,3.66,3.98,3.15,4.07,3.71,4.14,3.44,3.32,3.95,3.13,3.88,3.88
実績評価,4.28,3.98,3.65,3.66,3.98,3.15,4.07,3.71,4.14,3.44,3.32,3.95,3.13,3.88,3.88
ポテンシャル評価,4.31,3.75,3.2,3.57,3.99,3.06,3.76,3.25,4.21,2.87,2.87,3.7,2.13,3.75,3.74
前走レース名,"<a href=""/race/201601020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201605030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/201605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201608040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201608040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201606040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/2016A6a00804/"" title=""プリンスオブウェール(G1)"">プリンスオブウェール(G1)</a>","<a href=""/race/201605020911/"" title=""メイS(OP)"">メイS(OP)</a>","<a href=""/race/201609030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201601020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>"
前走オッズ,1.6,4.5,4.2,4.5,8.1,17.0,3.3,75.3,4.4,7.0,48.7,,24.0,28.7,8.4
前走成績,2,11,5,2,8,2,1,3,3,2,10,6,9,6,5
2走前レース名,"<a href=""/race/201605030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/2016C7a00707/"" title=""ドバイターフ(G1)"">ドバイターフ(G1)</a>","<a href=""/race/201609030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201609030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201605030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/201608030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201605030411/"" title=""エプソムC(G3)"">エプソムC(G3)</a>","<a href=""/race/201605030411/"" title=""エプソムC(G3)"">エプソムC(G3)</a>","<a href=""/race/201609030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201609030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201605030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/2016A8a00405/"" title=""イスパーン賞(G1)"">イスパーン賞(G1)</a>","<a href=""/race/201609010811/"" title=""阪神大賞典(G2)"">阪神大賞典(G2)</a>","<a href=""/race/2016G0a00808/"" title=""QE2世C(G1)"">QE2世C(G1)</a>","<a href=""/race/201609030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>"
2走前オッズ,1.7,,18.3,9.1,36.9,30.9,2.8,31.2,10.6,50.6,53.6,,29.9,,104.3
2走前成績,2,1,5,16,1,9,1,6,4,8,8,1,8,12,13
3走前レース名,"<a href=""/race/2016G0a00908/"" title=""チャンピオンズマイル(G1)"">チャンピオンズマイル(G1)</a>","<a href=""/race/201606020211/"" title=""中山記念(G2)"">中山記念(G2)</a>","<a href=""/race/201609030111/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>","<a href=""/race/201609020411/"" title=""産経大阪杯(G2)"">産経大阪杯(G2)</a>","<a href=""/race/201606030411/"" title=""ダービー卿チャレンジ(G3)"">ダービー卿チャレンジ(G3)</a>","<a href=""/race/201609010811/"" title=""阪神大賞典(G2)"">阪神大賞典(G2)</a>","<a href=""/race/201605020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/201604010411/"" title=""新潟大賞典(G3)"">新潟大賞典(G3)</a>","<a href=""/race/2016G0a00808/"" title=""QE2世C(G1)"">QE2世C(G1)</a>","<a href=""/race/201609030111/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>","<a href=""/race/201608030211/"" title=""読売マイラーズC(G2)"">読売マイラーズC(G2)</a>","<a href=""/race/2015G0a01a08/"" title=""香港C(G1)"">香港C(G1)</a>","<a href=""/race/201605010711/"" title=""ダイヤモンドS(G3)"">ダイヤモンドS(G3)</a>","<a href=""/race/201608020611/"" title=""京都記念(G2)"">京都記念(G2)</a>","<a href=""/race/201609030111/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>"
3走前オッズ,,4.2,3.3,3.9,10.7,4.1,8.6,5.6,,3.8,33.5,,8.1,9.2,2.8
3走前成績,1,3,2,1,2,3,5,12,4,1,3,1,11,1,6
