,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
芝適性,4,2,8,8,4,3,9,7,26,5,39,1,9,6,1,7
距離適性,56,34,32,99,69,55,77,29,29,55,78,110,51,47,78,68
脚質,77,8,10,116,113,38,87,56,91,110,116,45,102,37,1,46
成長,62,27,58,108,38,38,74,116,41,40,58,99,37,58,58,84
馬場適性,42,46,73,70,34,47,50,7,48,59,58,1,62,49,47,40
総合評価,4.88,4.31,4.13,3.67,4.22,4.23,3.96,4.26,3.89,4.16,2.8,3.5,3.56,4.29,3.83,3.88
実績評価,4.88,4.31,4.13,3.67,4.22,4.23,3.96,4.26,3.89,4.16,2.8,3.5,3.56,4.29,3.83,3.88
ポテンシャル評価,4.88,4.18,3.94,3.43,4.07,3.87,3.73,4.12,3.92,4.14,2.2,3.07,3.2,4.25,3.44,3.7
前走レース名,"<a href=""/race/201905030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/201905030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/201905040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201904021211/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/201901020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201909040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201909030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201906040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201905040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201909030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201906040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201906040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201904021211/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/201909030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201905040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201908040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>"
前走オッズ,1.7,3.2,4.0,6.3,3.7,1.4,8.8,3.0,34.3,11.8,25.6,11.2,14.2,8.4,98.4,90.7
