,0,1,2,3,4,5,6,7,8,9,10,11
芝適性,4,3,1,2,5,21,7,9,8,7,2,1
距離適性,56,99,63,34,91,58,58,51,50,29,82,22
脚質,77,111,76,8,42,31,13,102,108,56,71,80
成長,62,74,91,27,82,77,48,37,75,116,78,35
馬場適性,42,75,9,46,11,51,63,62,67,7,25,116
総合評価,4.88,4.36,4.35,4.31,4.4,4.21,3.76,3.56,3.4,4.26,4.17,4.13
実績評価,4.88,4.36,4.35,4.31,4.4,4.21,3.76,3.56,3.4,4.26,4.17,4.13
ポテンシャル評価,4.88,4.33,4.31,4.18,4.11,3.84,3.21,3.2,3.35,4.12,4.04,3.78
前走レース名,"<a href=""/race/202005030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/202008030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/202009030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/202005030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/202008040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/202005040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/202004030811/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/202005040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/202001010411/"" title=""クイーンS(G3)"">クイーンS(G3)</a>","<a href=""/race/202006020211/"" title=""中山記念(G2)"">中山記念(G2)</a>","<a href=""/race/202009030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/202005030211/"" title=""安田記念(G1)"">安田記念(G1)</a>"
前走オッズ,1.3,2.0,4.1,12.7,3.5,10.6,7.8,25.0,3.3,5.1,9.9,12.9
前走成績,2,1,1,13,2,2,2,4,3,7,16,7
2走前レース名,"<a href=""/race/202005020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/201906050811/"" title=""有馬記念(G1)"">有馬記念(G1)</a>","<a href=""/race/202009020411/"" title=""大阪杯(G1)"">大阪杯(G1)</a>","<a href=""/race/2020GE041108/"" title=""クイーンエリザベスS(G1)"">クイーンエリザベスS(G1)</a>","<a href=""/race/202009030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/202005030411/"" title=""エプソムC(G3)"">エプソムC(G3)</a>","<a href=""/race/202003020411/"" title=""七夕賞(G3)"">七夕賞(G3)</a>","<a href=""/race/202004030811/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/202005020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/2019H1120808/"" title=""香港C(G1)"">香港C(G1)</a>","<a href=""/race/202009020411/"" title=""大阪杯(G1)"">大阪杯(G1)</a>","<a href=""/race/202009020411/"" title=""大阪杯(G1)"">大阪杯(G1)</a>"
2走前オッズ,1.4,18.4,5.2,2.0,14.2,22.1,4.8,11.8,21.0,3.3,4.3,3.8
2走前成績,1,4,2,3,2,1,9,6,15,1,7,3
3走前レース名,"<a href=""/race/201906050811/"" title=""有馬記念(G1)"">有馬記念(G1)</a>","<a href=""/race/2019C8100604/"" title=""凱旋門賞(G1)"">凱旋門賞(G1)</a>","<a href=""/race/202008020611/"" title=""京都記念(G2)"">京都記念(G2)</a>","<a href=""/race/201908050611/"" title=""マイルチャンピオンS(G1)"">マイルチャンピオンS(G1)</a>","<a href=""/race/202008030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/202004010211/"" title=""新潟大賞典(G3)"">新潟大賞典(G3)</a>","<a href=""/race/202009020411/"" title=""大阪杯(G1)"">大阪杯(G1)</a>","<a href=""/race/202009030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/202009020511/"" title=""サンスポ杯阪神牝馬S(G2)"">サンスポ杯阪神牝馬S(G2)</a>","<a href=""/race/201905040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/202006010911/"" title=""アメリカジョッキーC(G2)"">アメリカジョッキーC(G2)</a>","<a href=""/race/202006020211/"" title=""中山記念(G2)"">中山記念(G2)</a>"
3走前オッズ,1.5,11.1,2.7,2.4,5.3,9.4,54.8,82.5,14.0,148.9,3.0,2.5
3走前成績,9,12,1,2,6,14,6,12,2,8,1,1
