,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,シンボリクリスエス,ナリタトップロード,サンライズペガサス,エアシャカール,トーホウシデン,イブキガバメント,テンザンセイザ,エイシンプレストン,ブレイクタイム,アグネススペシャル,ツルマルボーイ,ロサード,テイエムオーシャン,ダンツフレーム,アグネスフライト,トラストファイヤー,アラタマインディ,ゴーステディ
騎手名,岡部幸雄,四位洋文,柴田善臣,武豊,ペリエ,横山典弘,田中勝春,福永祐一,松永幹夫,蛯名正義,河内洋,後藤浩輝,本田優,藤田伸二,勝浦正樹,江田照男,飯田祐史,吉田豊
枠順,8,1,17,14,13,11,5,6,9,15,7,18,10,16,2,3,4,12
走破タイム,1:58.5,1:58.6,1:58.6,1:58.8,1:58.9,1:59.1,1:59.1,1:59.2,1:59.2,1:59.3,1:59.3,1:59.3,1:59.5,1:59.6,1:59.8,1:59.9,2:00.0,2:00.3
オッズ,6.5,5.1,6.9,8.6,42.8,41.8,109.6,7.6,22.1,57.7,13.5,75.9,4.9,15.4,88.4,65.6,142.4,73.5
通過順位,6-6-7-5,11-11-10-10,8-9-8-5,14-14-13-13,3-3-3-5,6-6-5-2,8-9-10-10,8-6-8-9,5-5-5-2,16-16-13-13,17-17-17-17,14-14-16-15,4-4-3-2,13-12-10-10,11-12-13-15,18-17-17-17,2-2-2-5,1-1-1-1
馬体重,530(+8),496(-2),482(0),504(-10),434(+8),496(+2),480(+4),476(+2),552(0),442(+2),460(-6),432(0),458(-20),488(+14),460(+2),530(-2),522(0),508(+4)
性齢,牡3,牡6,牡4,牡5,牡5,牡6,牡4,牡5,牡5,牡5,牡4,牡6,牝4,牡4,牡5,牡4,牡5,牡5
斤量,56,58,58,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58
上がり3ハロン,34.4,34.1,34.3,34.2,35.0,35.1,34.7,35.0,35.2,34.6,34.2,34.5,35.6,35.1,35.2,34.9,36.3,37.1
人気,3,2,4,6,11,10,17,5,9,12,7,15,1,8,16,13,18,14
